gene_id,gene_type,split,labels,gene_name,TSS,chromosome_name,strand
ENSG00000198691,protein_coding,test,-1.2018340551432876,ABCA4,94121177,chr1,-
ENSG00000154265,protein_coding,train,0.278948361066719,ABCA5,69327158,chr17,-
ENSG00000154262,protein_coding,train,-0.934229047934206,ABCA6,69141921,chr17,-
ENSG00000064687,protein_coding,train,0.2138721633137366,ABCA7,1040162,chr19,+
ENSG00000141338,protein_coding,train,-0.6124758610215107,ABCA8,68955409,chr17,-
ENSG00000154258,protein_coding,train,-1.0528884566447438,ABCA9,69060953,chr17,-
ENSG00000085563,protein_coding,train,-0.5137819166207539,ABCB1,87600891,chr7,-
ENSG00000135776,protein_coding,train,0.573163593312114,ABCB10,229558730,chr1,-
ENSG00000073734,protein_coding,test,-1.3727887393688525,ABCB11,169031329,chr2,-
ENSG00000005471,protein_coding,train,-0.9938093685447092,ABCB4,87475722,chr7,-
ENSG00000004846,protein_coding,test,-1.4468933945211957,ABCB5,20647335,chr7,+
ENSG00000115657,protein_coding,train,0.5953267751388854,ABCB6,219218963,chr2,-
ENSG00000131269,protein_coding,train,0.8417957234145631,ABCB7,75156294,chrX,-
ENSG00000197150,protein_coding,train,0.4635700849377576,ABCB8,151028466,chr7,+
ENSG00000150967,protein_coding,train,-0.2376355351879187,ABCB9,122966480,chr12,-
ENSG00000103222,protein_coding,valid,1.0243875200737926,ABCC1,15949645,chr16,+
ENSG00000124574,protein_coding,train,0.4917898350727493,ABCC10,43427585,chr6,+
ENSG00000121270,protein_coding,train,-1.2692955171527367,ABCC11,48244264,chr16,-
ENSG00000140798,protein_coding,valid,-1.4491905617733891,ABCC12,48091226,chr16,-
ENSG00000023839,protein_coding,train,-0.6334545634037179,ABCC2,99782778,chr10,+
ENSG00000108846,protein_coding,train,-0.2494204589648765,ABCC3,50634924,chr17,+
ENSG00000125257,protein_coding,train,0.3072560597079729,ABCC4,95301486,chr13,-
ENSG00000114770,protein_coding,valid,0.6046992015250078,ABCC5,184017939,chr3,-
ENSG00000006071,protein_coding,train,-1.1843872982171648,ABCC8,17476884,chr11,-
ENSG00000069431,protein_coding,train,-1.0785360059726263,ABCC9,21941433,chr12,-
ENSG00000101986,protein_coding,train,0.4979447847661281,ABCD1,153724864,chrX,+
ENSG00000173208,protein_coding,train,-1.09570943295137,ABCD2,39619833,chr12,-
ENSG00000117528,protein_coding,train,0.7221920253570172,ABCD3,94418424,chr1,+
ENSG00000119688,protein_coding,valid,0.5892560769260781,ABCD4,74303002,chr14,-
ENSG00000164163,protein_coding,train,1.011377561928432,ABCE1,145098343,chr4,+
ENSG00000204574,protein_coding,valid,1.2301880919800747,ABCF1,30571478,chr6,+
ENSG00000033050,protein_coding,train,1.047049849780611,ABCF2,151227246,chr7,-
ENSG00000161204,protein_coding,train,0.8420716180989956,ABCF3,184186208,chr3,+
ENSG00000160179,protein_coding,train,0.0569227175489978,ABCG1,42219169,chr21,+
ENSG00000118777,protein_coding,train,-0.4154255006394912,ABCG2,88158923,chr4,-
ENSG00000172350,protein_coding,test,-1.0569000163707332,ABCG4,119149059,chr11,+
ENSG00000138075,protein_coding,train,-1.440067893877767,ABCG5,43838769,chr2,-
ENSG00000143921,protein_coding,train,-1.433339212116305,ABCG8,43838985,chr2,+
ENSG00000143994,protein_coding,train,-0.889017319264794,ABHD1,27123854,chr2,+
ENSG00000144827,protein_coding,train,0.8872365395796655,ABHD10,111979061,chr3,+
ENSG00000106077,protein_coding,train,0.6206534851895383,ABHD11,73738818,chr7,-
ENSG00000100997,protein_coding,train,1.0286005721616749,ABHD12,25390871,chr20,-
ENSG00000131969,protein_coding,train,-1.3948561652083546,ABHD12B,50872139,chr14,+
ENSG00000139826,protein_coding,train,0.5267900580157528,ABHD13,108218530,chr13,+
ENSG00000248487,protein_coding,train,0.629859652676697,ABHD14A,51975086,chr3,+
ENSG00000114786,protein_coding,train,0.9556341825213586,ABHD14A-ACY1,51974055,chr3,+
ENSG00000168792,protein_coding,train,0.4432108500350685,ABHD15,29567042,chr17,-
ENSG00000204427,protein_coding,train,0.8358900467596686,ABHD16A,31703365,chr6,-
ENSG00000183260,protein_coding,valid,-1.4491905617733891,ABHD16B,63861487,chr20,+
ENSG00000140526,protein_coding,train,0.9751699999583352,ABHD2,89088494,chr15,+
ENSG00000158201,protein_coding,train,0.8050467200784884,ABHD3,21704818,chr18,-
ENSG00000100439,protein_coding,train,1.018453560587025,ABHD4,22598310,chr14,+
ENSG00000011198,protein_coding,train,0.5608170179339997,ABHD5,43690944,chr3,+
ENSG00000163686,protein_coding,train,0.3581881873813229,ABHD6,58237846,chr3,+
ENSG00000127220,protein_coding,train,0.6537798821924938,ABHD8,17303440,chr19,-
ENSG00000136754,protein_coding,train,1.1505030982883622,ABI1,26860969,chr10,-
ENSG00000138443,protein_coding,train,0.8460815132575525,ABI2,203328315,chr2,+
ENSG00000108798,protein_coding,train,-0.1493316422896653,ABI3,49210718,chr17,+
ENSG00000154175,protein_coding,train,-0.5011314573136484,ABI3BP,100993430,chr3,-
ENSG00000097007,protein_coding,train,1.2121041008086308,ABL1,130835288,chr9,+
ENSG00000143322,protein_coding,train,0.4888951262575199,ABL2,179143084,chr1,-
ENSG00000099204,protein_coding,train,1.015758230469934,ABLIM1,114526934,chr10,-
ENSG00000163995,protein_coding,train,-0.6297566001158119,ABLIM2,8158855,chr4,-
ENSG00000173210,protein_coding,train,0.2927282800099599,ABLIM3,149141513,chr5,+
ENSG00000159842,protein_coding,train,1.2328417936111888,ABR,1180000,chr17,-
ENSG00000174429,protein_coding,train,-1.4468933945211957,ABRA,106770251,chr8,-
ENSG00000146109,protein_coding,train,1.0084733223054254,ABT1,26596985,chr6,+
ENSG00000114626,protein_coding,train,0.461154554536113,ABTB1,127673018,chr3,+
ENSG00000166016,protein_coding,train,0.1537382297286452,ABTB2,34358016,chr11,-
ENSG00000060971,protein_coding,train,0.7963392338379507,ACAA1,38137141,chr3,-
ENSG00000167315,protein_coding,train,1.3124194079247662,ACAA2,49813540,chr18,-
ENSG00000076555,protein_coding,train,0.2033171001742706,ACACB,109131367,chr12,+
ENSG00000111271,protein_coding,train,0.3934115533863255,ACAD10,111686109,chr12,+
ENSG00000240303,protein_coding,train,0.6154639702637639,ACAD11,132659822,chr3,-
ENSG00000151498,protein_coding,valid,0.492597198101181,ACAD8,134253591,chr11,+
ENSG00000177646,protein_coding,train,0.8131870414813965,ACAD9,128879668,chr3,+
ENSG00000115361,protein_coding,test,-1.1123945331559366,ACADL,210225397,chr2,-
ENSG00000117054,protein_coding,train,0.8703904196144504,ACADM,75724772,chr1,+
ENSG00000122971,protein_coding,train,0.4564521239750612,ACADS,120725879,chr12,+
ENSG00000196177,protein_coding,train,0.564759445847469,ACADSB,123009026,chr10,+
ENSG00000072778,protein_coding,valid,1.8316750449461088,ACADVL,7219956,chr17,+
ENSG00000157766,protein_coding,train,-1.1238531606032574,ACAN,88803442,chr15,+
ENSG00000072818,protein_coding,train,-0.3001345849692677,ACAP1,7336583,chr17,+
ENSG00000114331,protein_coding,train,0.6632829139688156,ACAP2,195443048,chr3,-
ENSG00000131584,protein_coding,train,0.7981379453145877,ACAP3,1307938,chr1,-
ENSG00000075239,protein_coding,train,0.7783664802125382,ACAT1,108121573,chr11,+
ENSG00000120437,protein_coding,train,1.1151990473008444,ACAT2,159762072,chr6,+
ENSG00000182827,protein_coding,valid,1.0778383954367907,ACBD3,226186763,chr1,-
ENSG00000181513,protein_coding,train,0.4083254957151485,ACBD4,45135719,chr17,+
ENSG00000107897,protein_coding,train,0.8185695409554647,ACBD5,27240827,chr10,-
ENSG00000176244,protein_coding,train,-0.6766083100575945,ACBD7,15088783,chr10,-
ENSG00000110455,protein_coding,train,0.0792918892202248,ACCS,44066536,chr11,+
ENSG00000102977,protein_coding,train,0.8827349094780804,ACD,67660279,chr16,-
ENSG00000159640,protein_coding,test,-0.3888328797925734,ACE,63477069,chr17,+
ENSG00000130234,protein_coding,train,-1.1344080509198593,ACE2,15600950,chrX,-
ENSG00000167769,protein_coding,train,-1.382692316418072,ACER1,6333601,chr19,-
ENSG00000177076,protein_coding,valid,-0.0404869456434086,ACER2,19409018,chr9,+
ENSG00000078124,protein_coding,train,0.4620157301624409,ACER3,76860947,chr11,+
ENSG00000087085,protein_coding,train,-0.369054795480859,ACHE,100895894,chr7,-
ENSG00000100813,protein_coding,train,1.3225301634237296,ACIN1,23095153,chr14,-
ENSG00000131473,protein_coding,train,1.8115657941460843,ACLY,41918960,chr17,-
ENSG00000153086,protein_coding,train,-1.4378143784255997,ACMSD,134838623,chr2,+
ENSG00000122729,protein_coding,train,1.1293866760000606,ACO1,32384711,chr9,+
ENSG00000100412,protein_coding,train,1.3472069925850785,ACO2,41469148,chr22,+
ENSG00000184227,protein_coding,train,0.4839527752984449,ACOT1,73537148,chr14,+
ENSG00000162390,protein_coding,train,-0.3714230685505342,ACOT11,54548239,chr1,+
ENSG00000172497,protein_coding,train,-1.2756416199680445,ACOT12,81394139,chr5,-
ENSG00000112304,protein_coding,valid,0.6496323799777496,ACOT13,24667137,chr6,+
ENSG00000119673,protein_coding,train,0.7003173376778883,ACOT2,73569301,chr14,+
ENSG00000177465,protein_coding,train,-0.5058359333325643,ACOT4,73592175,chr14,+
ENSG00000205669,protein_coding,train,-1.4267046408819954,ACOT6,73610940,chr14,+
ENSG00000097021,protein_coding,train,0.9111484381328908,ACOT7,6393387,chr1,-
ENSG00000101473,protein_coding,train,0.5910074232054373,ACOT8,45857417,chr20,-
ENSG00000123130,protein_coding,train,0.7642792255587064,ACOT9,23743302,chrX,-
ENSG00000161533,protein_coding,train,0.7641708910958264,ACOX1,75979188,chr17,-
ENSG00000168306,protein_coding,train,-0.206618034004626,ACOX2,58537208,chr3,-
ENSG00000087008,protein_coding,train,0.5307408905533345,ACOX3,8428473,chr4,-
ENSG00000153093,protein_coding,train,-1.3333139103797556,ACOXL,110732639,chr2,+
ENSG00000143727,protein_coding,train,1.2223842333148351,ACP1,264964,chr2,+
ENSG00000134575,protein_coding,train,0.8939593347982987,ACP2,47248824,chr11,-
ENSG00000102575,protein_coding,train,0.277862306917685,ACP5,11577671,chr19,-
ENSG00000162836,protein_coding,train,0.4793140572164203,ACP6,147670285,chr1,-
ENSG00000100312,protein_coding,train,-1.2373037939736886,ACR,50738235,chr22,+
ENSG00000111644,protein_coding,train,-0.5841357605020664,ACRBP,6647441,chr12,-
ENSG00000134940,protein_coding,train,-1.378706039930046,ACRV1,125680852,chr11,-
ENSG00000103740,protein_coding,train,-0.8400288372907682,ACSBG1,78234574,chr15,-
ENSG00000130377,protein_coding,train,-1.4158491531920192,ACSBG2,6135714,chr19,+
ENSG00000167107,protein_coding,train,0.3890833402677349,ACSF2,50426261,chr17,+
ENSG00000176715,protein_coding,train,0.3999941721956708,ACSF3,89093941,chr16,+
ENSG00000151726,protein_coding,train,0.6312382016463213,ACSL1,184825974,chr4,-
ENSG00000123983,protein_coding,train,1.0663236159390903,ACSL3,222861047,chr2,+
ENSG00000068366,protein_coding,train,1.09394915751596,ACSL4,109733272,chrX,-
ENSG00000197142,protein_coding,train,-0.1912693782173603,ACSL5,112376264,chr10,+
ENSG00000164398,protein_coding,train,-1.0946176853795873,ACSL6,132011678,chr5,-
ENSG00000166743,protein_coding,train,-1.1158031522096954,ACSM1,20676166,chr16,-
ENSG00000183747,protein_coding,train,-1.4608462860149525,ACSM2A,20451543,chr16,+
ENSG00000066813,protein_coding,valid,-1.4632121967076763,ACSM2B,20576367,chr16,-
ENSG00000005187,protein_coding,train,-0.2130353038908877,ACSM3,20764030,chr16,+
ENSG00000183549,protein_coding,train,-1.4180004680382643,ACSM5,20409545,chr16,+
ENSG00000154930,protein_coding,train,0.3054357371075275,ACSS1,25058149,chr20,-
ENSG00000131069,protein_coding,train,0.9587069388156364,ACSS2,34876620,chr20,+
ENSG00000111058,protein_coding,train,-0.0073969311812584,ACSS3,81078098,chr12,+
ENSG00000143632,protein_coding,test,-0.4812679001707323,ACTA1,229434102,chr1,-
ENSG00000107796,protein_coding,train,1.245303042624141,ACTA2,88952779,chr10,-
ENSG00000075624,protein_coding,train,3.2576765184943013,ACTB,5530603,chr7,-
ENSG00000169067,protein_coding,train,-1.4446072979975124,ACTBL2,57482813,chr5,-
ENSG00000159251,protein_coding,train,-0.8458021025952097,ACTC1,34795556,chr15,-
ENSG00000184009,protein_coding,valid,3.266395777879994,ACTG1,81512804,chr17,-
ENSG00000163017,protein_coding,train,-0.4483207343529354,ACTG2,73893015,chr2,+
ENSG00000136518,protein_coding,train,0.9594684388158894,ACTL6A,179562981,chr3,+
ENSG00000077080,protein_coding,test,-1.378706039930046,ACTL6B,100656455,chr7,-
ENSG00000187003,protein_coding,train,-1.4632121967076763,ACTL7A,108862287,chr9,+
ENSG00000148156,protein_coding,train,-1.4267046408819954,ACTL7B,108855989,chr9,-
ENSG00000117148,protein_coding,valid,-1.420161583897135,ACTL8,17755388,chr1,+
ENSG00000181786,protein_coding,train,-1.4632121967076763,ACTL9,8698808,chr19,-
ENSG00000072110,protein_coding,train,1.3210252104919642,ACTN1,68979312,chr14,-
ENSG00000077522,protein_coding,train,-0.8362186633077959,ACTN2,236686506,chr1,+
ENSG00000130402,protein_coding,train,1.8579706561530505,ACTN4,38647665,chr19,+
ENSG00000131966,protein_coding,train,0.9852701054863484,ACTR10,58200184,chr14,+
ENSG00000138107,protein_coding,train,1.4291914826750836,ACTR1A,102502732,chr10,-
ENSG00000115073,protein_coding,train,1.335292379548474,ACTR1B,97664051,chr2,-
ENSG00000138071,protein_coding,train,1.6067615761995953,ACTR2,65227857,chr2,+
ENSG00000115091,protein_coding,train,1.1352701826858491,ACTR3,113890162,chr2,+
ENSG00000133627,protein_coding,train,-0.0212642906118807,ACTR3B,152759815,chr7,+
ENSG00000106526,protein_coding,train,-0.733158502526402,ACTR3C,150323593,chr7,-
ENSG00000101442,protein_coding,train,0.6014123901498433,ACTR5,38748483,chr20,+
ENSG00000075089,protein_coding,train,0.5733904299987376,ACTR6,100200856,chr12,+
ENSG00000113812,protein_coding,train,0.6338977933777171,ACTR8,53882160,chr3,-
ENSG00000123165,protein_coding,train,-1.4632121967076763,ACTRT1,128052403,chrX,-
ENSG00000169717,protein_coding,train,-1.4632121967076763,ACTRT2,3021524,chr1,+
ENSG00000115170,protein_coding,train,0.6966838715033966,ACVR1,157876119,chr2,-
ENSG00000135503,protein_coding,train,0.6773589360576127,ACVR1B,51951748,chr12,+
ENSG00000123612,protein_coding,train,-0.9136840070080322,ACVR1C,157628873,chr2,-
ENSG00000121989,protein_coding,train,0.2345014105916133,ACVR2A,147844581,chr2,+
ENSG00000114739,protein_coding,train,-0.4359201531174342,ACVR2B,38453931,chr3,+
ENSG00000139567,protein_coding,valid,-0.3058895061146491,ACVRL1,51906957,chr12,+
ENSG00000243989,protein_coding,train,0.7354750416295247,ACY1,51983556,chr3,+
ENSG00000132744,protein_coding,train,-1.1857068098066483,ACY3,67650742,chr11,-
ENSG00000119640,protein_coding,train,0.4841874347692465,ACYP1,75064058,chr14,-
ENSG00000170634,protein_coding,train,0.062376888437424,ACYP2,54115649,chr2,+
ENSG00000196839,protein_coding,train,0.6254385985990792,ADA,44651707,chr20,-
ENSG00000164113,protein_coding,train,-1.4632121967076763,ADAD1,122379568,chr4,+
ENSG00000140955,protein_coding,train,-1.0569000163707332,ADAD2,84191225,chr16,+
ENSG00000168803,protein_coding,train,0.2423130213036188,ADAL,43330724,chr15,+
ENSG00000137845,protein_coding,train,1.0619483819610136,ADAM10,58749751,chr15,-
ENSG00000073670,protein_coding,train,-0.5908750640597991,ADAM11,44759021,chr17,+
ENSG00000148848,protein_coding,train,-0.6447246324166227,ADAM12,126388486,chr10,-
ENSG00000143537,protein_coding,train,0.9057932117675436,ADAM15,155051357,chr1,+
ENSG00000151694,protein_coding,train,0.7290317304324978,ADAM17,9555837,chr2,-
ENSG00000168619,protein_coding,train,-1.4632121967076763,ADAM18,39584598,chr8,+
ENSG00000135074,protein_coding,train,0.4463548780407296,ADAM19,157575782,chr5,-
ENSG00000104755,protein_coding,train,-1.4632121967076763,ADAM2,39838232,chr8,-
ENSG00000134007,protein_coding,train,-1.224227079259388,ADAM20,70535029,chr14,-
ENSG00000139985,protein_coding,train,-1.1587397488892823,ADAM21,70452196,chr14,+
ENSG00000008277,protein_coding,train,-0.5507640738972822,ADAM22,87934326,chr7,+
ENSG00000114948,protein_coding,train,0.0013393030399678,ADAM23,206443543,chr2,+
ENSG00000042980,protein_coding,train,-1.0173064896211197,ADAM28,24294077,chr8,+
ENSG00000168594,protein_coding,train,-1.4632121967076763,ADAM29,174918416,chr4,+
ENSG00000134249,protein_coding,test,-1.4632121967076763,ADAM30,119896520,chr1,-
ENSG00000197140,protein_coding,train,-1.1675595216143098,ADAM32,39107588,chr8,+
ENSG00000149451,protein_coding,train,-0.0658522662518375,ADAM33,3682052,chr20,-
ENSG00000069206,protein_coding,train,-1.4632121967076763,ADAM7,24441038,chr8,+
ENSG00000151651,protein_coding,train,-0.1832181986869256,ADAM8,133276880,chr10,-
ENSG00000168615,protein_coding,train,1.0674225824669372,ADAM9,38996995,chr8,+
ENSG00000134028,protein_coding,train,-1.4491905617733891,ADAMDEC1,24384513,chr8,+
ENSG00000154734,protein_coding,train,0.9379708247084656,ADAMTS1,26845416,chr21,-
ENSG00000142303,protein_coding,train,0.3002783089247451,ADAMTS10,8610727,chr19,-
ENSG00000151388,protein_coding,train,-0.5916298201626241,ADAMTS12,33891996,chr5,-
ENSG00000160323,protein_coding,train,-0.087403488764316,ADAMTS13,133422394,chr9,+
ENSG00000138316,protein_coding,train,-0.7669052871635532,ADAMTS14,70672543,chr10,+
ENSG00000166106,protein_coding,train,-0.3417440719221002,ADAMTS15,130448652,chr11,+
ENSG00000145536,protein_coding,train,-1.1843872982171648,ADAMTS16,5146253,chr5,+
ENSG00000140470,protein_coding,train,-0.8145826737059026,ADAMTS17,100341981,chr15,-
ENSG00000140873,protein_coding,train,-1.390766794102036,ADAMTS18,77435047,chr16,-
ENSG00000145808,protein_coding,test,-1.2227961155481624,ADAMTS19,129460319,chr5,+
ENSG00000087116,protein_coding,train,0.1402875282838194,ADAMTS2,179345485,chr5,-
ENSG00000173157,protein_coding,train,-1.4538185410237352,ADAMTS20,43552213,chr12,-
ENSG00000156140,protein_coding,valid,-0.7544993788127026,ADAMTS3,72569244,chr4,-
ENSG00000158859,protein_coding,train,-0.0099386669170738,ADAMTS4,161199061,chr1,-
ENSG00000154736,protein_coding,test,-0.6326302988860694,ADAMTS5,26967097,chr21,-
ENSG00000049192,protein_coding,train,-0.4069060794627052,ADAMTS6,65481855,chr5,-
ENSG00000136378,protein_coding,train,0.2847585629706307,ADAMTS7,78811473,chr15,-
ENSG00000134917,protein_coding,train,-1.1158031522096954,ADAMTS8,130428614,chr11,-
ENSG00000163638,protein_coding,train,-0.0319375030010174,ADAMTS9,64688008,chr3,-
ENSG00000178031,protein_coding,train,-0.8470946486552795,ADAMTSL1,18474162,chr9,+
ENSG00000197859,protein_coding,train,-0.9070287505405106,ADAMTSL2,133534713,chr9,+
ENSG00000156218,protein_coding,train,-0.9894211401134644,ADAMTSL3,83654136,chr15,+
ENSG00000143382,protein_coding,train,0.3105940760488633,ADAMTSL4,150549425,chr1,+
ENSG00000185761,protein_coding,train,-0.0835056516272244,ADAMTSL5,1513033,chr19,-
ENSG00000105963,protein_coding,train,-0.0664760192812929,ADAP1,954693,chr7,-
ENSG00000184060,protein_coding,train,-0.4000476836970031,ADAP2,30921960,chr17,+
ENSG00000160710,protein_coding,train,1.5529542418566902,ADAR,154608219,chr1,-
ENSG00000197381,protein_coding,train,0.3293854190411238,ADARB1,45074628,chr21,+
ENSG00000185736,protein_coding,train,-0.9731065582294784,ADARB2,1240556,chr10,-
ENSG00000065457,protein_coding,train,0.5890993918344628,ADAT1,75623301,chr16,-
ENSG00000189007,protein_coding,train,0.1639082777972435,ADAT2,143450732,chr6,-
ENSG00000213638,protein_coding,train,0.1686466086162393,ADAT3,1905412,chr19,+
ENSG00000063761,protein_coding,train,0.1096081824422909,ADCK1,77800144,chr14,+
ENSG00000133597,protein_coding,train,0.6532873774479048,ADCK2,140672972,chr7,+
ENSG00000173137,protein_coding,test,0.3636136069872914,ADCK5,144374086,chr8,+
ENSG00000164742,protein_coding,train,-0.5662606418679104,ADCY1,45574439,chr7,+
ENSG00000143199,protein_coding,train,-1.277241500440926,ADCY10,167914139,chr1,-
ENSG00000078295,protein_coding,train,-1.0609457902387665,ADCY2,7396211,chr5,+
ENSG00000138031,protein_coding,test,0.8180282279776444,ADCY3,24920271,chr2,-
ENSG00000129467,protein_coding,test,-0.6248704029854211,ADCY4,24335086,chr14,-
ENSG00000173175,protein_coding,train,-0.2133754717868215,ADCY5,123449795,chr3,-
ENSG00000174233,protein_coding,test,0.7630644640483764,ADCY6,48789103,chr12,-
ENSG00000121281,protein_coding,train,0.3140766938056841,ADCY7,50266574,chr16,+
ENSG00000155897,protein_coding,train,-1.4267046408819954,ADCY8,131040881,chr8,-
ENSG00000162104,protein_coding,train,0.5630738443777634,ADCY9,4116469,chr16,-
ENSG00000141433,protein_coding,train,-1.3479672487791965,ADCYAP1,904421,chr18,+
ENSG00000078549,protein_coding,train,-0.985939553031112,ADCYAP1R1,31052377,chr7,+
ENSG00000087274,protein_coding,train,1.2106014512805072,ADD1,2843927,chr4,+
ENSG00000075340,protein_coding,train,-0.9084996481858718,ADD2,70768207,chr2,-
ENSG00000148700,protein_coding,train,1.1534308086271874,ADD3,110007994,chr10,+
ENSG00000187758,protein_coding,train,-1.3190996900392886,ADH1A,99290991,chr4,-
ENSG00000196616,protein_coding,train,-1.4514989074990443,ADH1B,99321407,chr4,-
ENSG00000198099,protein_coding,train,-1.3727887393688525,ADH4,99144312,chr4,-
ENSG00000197894,protein_coding,valid,1.428043424370118,ADH5,99088747,chr4,-
ENSG00000172955,protein_coding,train,-1.32438023559466,ADH6,99219252,chr4,-
ENSG00000196344,protein_coding,train,-1.4632121967076763,ADH7,99435364,chr4,-
ENSG00000147576,protein_coding,train,0.2874300405244043,ADHFE1,66432515,chr8,+
ENSG00000182551,protein_coding,valid,0.9769859754803228,ADI1,3519542,chr2,-
ENSG00000182035,protein_coding,train,-1.4632121967076763,ADIG,38581203,chr20,+
ENSG00000181092,protein_coding,train,-1.458492116862817,ADIPOQ,186842716,chr3,+
ENSG00000159346,protein_coding,train,1.5403685159994498,ADIPOR1,202958320,chr1,-
ENSG00000006831,protein_coding,train,1.058185779688678,ADIPOR2,1691084,chr12,+
ENSG00000156110,protein_coding,train,0.9082625275458616,ADK,74176779,chr10,+
ENSG00000148926,protein_coding,train,0.8981928521404883,ADM,10305083,chr11,+
ENSG00000128165,protein_coding,train,-0.2247400920267595,ADM2,50481561,chr22,+
ENSG00000101126,protein_coding,train,1.147479943531713,ADNP,50931451,chr20,-
ENSG00000101544,protein_coding,train,0.6971832547588572,ADNP2,80109292,chr18,+
ENSG00000181915,protein_coding,train,0.8450411005696118,ADO,62804955,chr10,+
ENSG00000163485,protein_coding,train,-0.7529048760994538,ADORA1,203128348,chr1,+
ENSG00000128271,protein_coding,test,-0.1352710406470037,ADORA2A,24423949,chr22,+
ENSG00000170425,protein_coding,train,0.0960677295525829,ADORA2B,15945310,chr17,+
ENSG00000159322,protein_coding,train,1.1730131005992972,ADPGK,72783780,chr15,-
ENSG00000144843,protein_coding,train,-0.1497778227055842,ADPRH,119579797,chr3,+
ENSG00000153531,protein_coding,train,-0.4023228156868284,ADPRHL1,113453495,chr13,-
ENSG00000120907,protein_coding,train,-1.3611710784461104,ADRA1A,26867283,chr8,-
ENSG00000170214,protein_coding,train,-0.6447246324166227,ADRA1B,159916521,chr5,+
ENSG00000171873,protein_coding,train,-0.9911715631718142,ADRA1D,4249305,chr20,-
ENSG00000150594,protein_coding,test,-0.7142013677541011,ADRA2A,111077039,chr10,+
ENSG00000184160,protein_coding,train,-0.3005433433836614,ADRA2C,3765921,chr4,+
ENSG00000043591,protein_coding,train,-0.9373498757074752,ADRB1,114043882,chr10,+
ENSG00000169252,protein_coding,train,-0.0918601061694388,ADRB2,148826638,chr5,+
ENSG00000188778,protein_coding,train,-1.440067893877767,ADRB3,37966614,chr8,-
ENSG00000130706,protein_coding,train,1.5140773602758115,ADRM1,62303030,chr20,+
ENSG00000239900,protein_coding,test,1.0154010957942643,ADSL,40346539,chr22,+
ENSG00000106624,protein_coding,train,0.9679485989618064,AEBP1,44104371,chr7,+
ENSG00000139154,protein_coding,train,0.681607310572764,AEBP2,19439714,chr12,+
ENSG00000181026,protein_coding,train,0.8135581954979214,AEN,88621368,chr15,+
ENSG00000196526,protein_coding,train,0.50611621222516,AFAP1,7939866,chr4,-
ENSG00000157510,protein_coding,train,0.215941517084972,AFAP1L1,149271904,chr5,+
ENSG00000169129,protein_coding,train,-0.0481112441452523,AFAP1L2,114404509,chr10,-
ENSG00000172493,protein_coding,train,0.8722230115765662,AFF1,86935034,chr4,+
ENSG00000155966,protein_coding,train,-0.8743989264977534,AFF2,148500800,chrX,+
ENSG00000144218,protein_coding,test,-0.251444121221885,AFF3,100142573,chr2,-
