gene_name,gene_id,gene_type,TSS,genomic_strand,chromosome_name,fpkm_median,tpm_median,fpkm_uq_median
ABCB6,ENSG00000115657,protein_coding,220083671,-,chr2,-2.760235373489053,-1.333879697404169,-2.5907448533151625
ABCB7,ENSG00000131269,protein_coding,74376108,-,chrX,2.119787758866823,3.554920326497768,2.315247399481585
ABCB8,ENSG00000197150,protein_coding,150725523,+,chr7,1.9175845144807933,3.389718231730804,2.0965317426936285
ABCB9,ENSG00000150967,protein_coding,123450986,-,chr12,0.0525550094341052,1.5387367998742167,0.2417181745967014
ABCC1,ENSG00000103222,protein_coding,16043454,+,chr16,3.0255781192123425,4.539369770442091,3.184946732236772
ABCC10,ENSG00000124574,protein_coding,43395272,+,chr6,1.7675700559517402,3.2081426473377217,1.9658766141901904
ABCC11,ENSG00000121270,protein_coding,48278161,-,chr16,-4.710283551513701,-3.339345147964772,-4.516222910048851
ABCC12,ENSG00000140798,protein_coding,48125119,-,chr16,-7.333516069162574,-6.878321443411748,-7.28771237954945
ABCC2,ENSG00000023839,protein_coding,101542462,+,chr10,-3.801883070847545,-2.420433639839788,-3.643856189774725
ABCC3,ENSG00000108846,protein_coding,48712206,+,chr17,0.199499603660362,1.5900031174216864,0.4035949506416653
ABCC4,ENSG00000125257,protein_coding,95953664,-,chr13,2.353662044745063,3.84219443591794,2.573713830134448
ABCC5,ENSG00000114770,protein_coding,183735660,-,chr3,1.9364400701142148,3.4445610603727843,2.1644323175654505
ABCC8,ENSG00000006071,protein_coding,17498348,-,chr11,-6.748553568441418,-5.947862376664825,-6.687799537362322
ABCC9,ENSG00000069431,protein_coding,22094350,-,chr12,-1.4623560380701153,0.0130691500195209,-1.2856006030695974
ABCD1,ENSG00000101986,protein_coding,152990302,+,chrX,3.1185756821005888,4.617627613002987,3.327040592958122
ABCD2,ENSG00000173208,protein_coding,40013582,-,chr12,-4.752437002928646,-3.392894616241506,-4.651087759005801
ABCD3,ENSG00000117528,protein_coding,94883931,+,chr1,2.1648827977763645,3.627233276490875,2.3194445229323417
ABCD4,ENSG00000119688,protein_coding,74769653,-,chr14,1.8984018599921928,3.404072025578163,2.0744026766470087
ABCE1,ENSG00000164163,protein_coding,146019421,+,chr4,3.1363718759684143,4.620099565355936,3.303824576221467
ABCF1,ENSG00000204574,protein_coding,30539204,+,chr6,4.481350613080706,5.973700809829933,4.633564894677125
ABCF2,ENSG00000033050,protein_coding,150924271,-,chr7,1.995014096471404,3.4904674438707715,2.16658691407045
ABCF3,ENSG00000161204,protein_coding,183903943,+,chr3,3.752984026875827,5.264525171628548,3.937400893460562
ABCG1,ENSG00000160179,protein_coding,43639211,+,chr21,1.6765833581877252,3.145335080156779,1.9078136250967472
ABCG2,ENSG00000118777,protein_coding,89080003,-,chr4,-1.4111954329844496,0.1124999762007179,-1.218934101564037
ABCG4,ENSG00000172350,protein_coding,119019738,+,chr11,-1.8598757760909288,-0.4106200045220359,-1.6831591504704124
ABCG5,ENSG00000138075,protein_coding,44065897,-,chr2,-3.494922085248385,-2.046921047387493,-3.313297789743922
ABCG8,ENSG00000143921,protein_coding,44066101,+,chr2,-4.035046947099201,-2.662003536484984,-3.8889686876112566
ABHD1,ENSG00000143994,protein_coding,27346666,+,chr2,-1.1824585998485664,0.2673560117838875,-1.0561911686737453
ABHD10,ENSG00000144827,protein_coding,111697843,+,chr3,3.4318903482861813,4.914009534050324,3.5963150079510617
ABHD11,ENSG00000106077,protein_coding,73153122,-,chr7,5.438126479550952,6.913062928093672,5.613599424990165
ABHD12,ENSG00000100997,protein_coding,25371412,-,chr20,4.36232259588458,5.829420847309681,4.561167254045734
ABHD12B,ENSG00000131969,protein_coding,51338816,+,chr14,-2.6665762662748085,-1.2115648515269442,-2.4747329082979674
ABHD13,ENSG00000139826,protein_coding,108870828,+,chr13,1.632128593094363,3.07825116563813,1.7890614722492513
ABHD14A,ENSG00000248487,protein_coding,52009067,+,chr3,2.028887358654898,3.4923146848925275,2.1820884000888183
ABHD15,ENSG00000168792,protein_coding,27893990,-,chr17,1.282439805006387,2.7645160137979525,1.4968202305942957
ABHD16A,ENSG00000204427,protein_coding,31671058,-,chr6,-0.3705268032130515,1.1355348697611896,-0.2077276725154755
ABHD16B,ENSG00000183260,protein_coding,62492833,+,chr20,-7.643856189774724,-7.643856189774724,-7.643856189774724
ABHD2,ENSG00000140526,protein_coding,89631647,+,chr15,2.2737545785459234,3.742846998801302,2.4387718958517697
ABHD3,ENSG00000158201,protein_coding,19284724,-,chr18,1.102590949588091,2.5655728057997327,1.3176513849083635
ABHD4,ENSG00000100439,protein_coding,23067166,+,chr14,3.7501240967254335,5.25748590490512,3.929061892790431
ABHD5,ENSG00000011198,protein_coding,43732420,+,chr3,1.4803685373472129,2.9604190365978176,1.6490635657706112
ABHD6,ENSG00000163686,protein_coding,58223500,+,chr3,0.6695710760389655,2.156267163051804,0.879627356812398
ABHD8,ENSG00000127220,protein_coding,17414179,-,chr19,3.66287768906408,5.167084907519902,3.868953394338586
ABI1,ENSG00000136754,protein_coding,27149851,-,chr10,4.082847328384981,5.560699671607082,4.300145694376973
ABI2,ENSG00000138443,protein_coding,204192989,+,chr2,1.6798291191088166,3.120501245603332,1.87385256194324
ABI3,ENSG00000108798,protein_coding,47288061,+,chr17,2.0032064306332487,3.4942235796443826,2.19377174339668
ABI3BP,ENSG00000154175,protein_coding,100712253,-,chr3,-0.5517333399360453,0.9058129809517658,-0.392137097168765
ABL1,ENSG00000097007,protein_coding,133710634,+,chr9,3.6847177678041,5.133592293871798,3.862530739850408
ABL2,ENSG00000143322,protein_coding,179112189,-,chr1,0.6885832272461475,2.139534981298352,0.873813198359087
ABLIM1,ENSG00000099204,protein_coding,116286656,-,chr10,4.087971937900058,5.515778671924722,4.251567620608247
ABLIM2,ENSG00000163995,protein_coding,8160512,-,chr4,-0.2520541072553783,1.207830395958694,-0.0635599298857853
ABLIM3,ENSG00000173210,protein_coding,148521047,+,chr5,-1.4932965131993434,0.0040339012844897,-1.30721574336599
ABR,ENSG00000159842,protein_coding,1083234,-,chr17,1.432799098920934,2.906602027742592,1.6156517047922965
ABRA,ENSG00000174429,protein_coding,107782463,-,chr8,-5.772012541265407,-4.580353247468567,-5.643856189774724
ABT1,ENSG00000146109,protein_coding,26597155,+,chr6,3.935054227505596,5.395724340176078,4.111315148073592
ABTB1,ENSG00000114626,protein_coding,127391769,+,chr3,2.4123208731047203,3.889697425198831,2.615557546389908
ABTB2,ENSG00000166016,protein_coding,34379546,-,chr11,0.8372974156630684,2.320455794944972,1.0347087397421657
ACAA1,ENSG00000060971,protein_coding,38178534,-,chr3,1.9724720977767265,3.454939161247385,2.1365195325505604
ACAA2,ENSG00000167315,protein_coding,47339882,-,chr18,2.994090899051175,4.441563154943667,3.199970667250641
ACACB,ENSG00000076555,protein_coding,109569155,+,chr12,0.1793836543562975,1.6520963695597537,0.3549034611356432
ACAD10,ENSG00000111271,protein_coding,112123850,+,chr12,1.7387678368001918,3.25303622837362,1.9107326619029128
ACAD11,ENSG00000240303,protein_coding,132378636,-,chr3,-3.871970611259359,-2.4924844135207715,-3.706511797624492
ACAD8,ENSG00000151498,protein_coding,134123425,+,chr11,1.5624744580963246,3.011835519505456,1.7625189096745548
ACAD9,ENSG00000177646,protein_coding,128598433,+,chr3,3.416799216202047,4.869022512336869,3.626789546375812
ACADL,ENSG00000115361,protein_coding,211090089,-,chr2,-4.45166202449138,-3.040971781056306,-4.265344566520995
ACADM,ENSG00000117054,protein_coding,76190357,+,chr1,3.326896826636041,4.795133136361324,3.4988252777355067
ACADS,ENSG00000122971,protein_coding,121163602,+,chr12,2.4985317188697285,3.972141200200944,2.6946573655470862
ACADSB,ENSG00000196177,protein_coding,124768482,+,chr10,1.352137026844267,2.907967405946532,1.5653047080272502
ACADVL,ENSG00000072778,protein_coding,7123207,+,chr17,4.928048108836801,6.420620507239236,5.122179865677476
ACAN,ENSG00000157766,protein_coding,89346657,+,chr15,-3.3032939207483114,-1.8847003559744528,-3.154570167148848
ACAP1,ENSG00000072818,protein_coding,7239821,+,chr17,-0.0259112723541398,1.4272307014252832,0.184089827056126
ACAP2,ENSG00000114331,protein_coding,195163706,-,chr3,2.4526744987607367,3.937372643081997,2.621829173194685
ACAP3,ENSG00000131584,protein_coding,1243252,-,chr1,1.8489984304000229,3.3196179342001613,1.9924058990316509
ACAT1,ENSG00000075239,protein_coding,107992284,+,chr11,2.0735117857042225,3.5010314386253607,2.291338332358177
ACAT2,ENSG00000120437,protein_coding,160183023,+,chr6,2.1365195325505604,3.5818453187543,2.32972638767445
ACBD3,ENSG00000182827,protein_coding,226374373,-,chr1,4.172535519204872,5.655054098916663,4.329460903458294
ACBD4,ENSG00000181513,protein_coding,43213004,+,chr17,1.9121516371628544,3.36535659703048,2.073100419644867
ACBD5,ENSG00000107897,protein_coding,27529716,-,chr10,1.0106366361087369,2.4596939029832408,1.1941501055915813
ACBD7,ENSG00000176244,protein_coding,15130767,-,chr10,1.964435600212331,3.380258445826212,2.108424091893028
ACCS,ENSG00000110455,protein_coding,44088027,+,chr11,1.2214440529543986,2.6814267757391868,1.3820585089760682
ACD,ENSG00000102977,protein_coding,67694129,-,chr16,2.749255355423618,4.230118453953958,2.9290903063753952
ACE,ENSG00000159640,protein_coding,61554413,+,chr17,0.931456140912712,2.4390645668432067,1.128161400914489
ACE2,ENSG00000130234,protein_coding,15619060,-,chrX,-5.28771237954945,-3.9590374522215024,-5.122805452873762
ACER1,ENSG00000167769,protein_coding,6333599,-,chr19,-5.137965260044767,-3.8889686876112566,-5.016249351645075
ACER2,ENSG00000177076,protein_coding,19408999,+,chr9,0.3893465361624977,1.8013656276227656,0.5979839937899456
ACER3,ENSG00000078124,protein_coding,76571935,+,chr11,1.557238520207222,3.008504816767422,1.7671038843842035
ACHE,ENSG00000087085,protein_coding,100493499,-,chr7,-1.6748438822584089,-0.1819675253419055,-1.5525794954095031
ACIN1,ENSG00000100813,protein_coding,23564320,-,chr14,4.024266481494827,5.512454462873314,4.175269092901939
ACLY,ENSG00000131473,protein_coding,40075197,-,chr17,4.083187833597508,5.593580855060949,4.268314613175228
ACMSD,ENSG00000153086,protein_coding,135596180,+,chr2,-3.952322024855525,-2.587272661408357,-3.830331500476914
ACO1,ENSG00000122729,protein_coding,32384617,+,chr9,2.1210485659834,3.512479746919633,2.2564974345655497
ACO2,ENSG00000100412,protein_coding,41865109,+,chr22,2.5620592132181104,4.108633177525158,2.7041194425947883
ACOT1,ENSG00000184227,protein_coding,74003840,+,chr14,0.4466797112284494,1.8857305340014647,0.6039764063991209
ACOT11,ENSG00000162390,protein_coding,55013889,+,chr1,0.0444640665132457,1.5338623213874585,0.2322923620891483
ACOT12,ENSG00000172497,protein_coding,80689945,-,chr5,-6.5328248773859805,-5.553002759323611,-6.467533417134262
ACOT13,ENSG00000112304,protein_coding,24667257,+,chr6,1.9401667504828168,3.434588198548479,2.0999684171548854
ACOT2,ENSG00000119673,protein_coding,74035970,+,chr14,3.0229004021100785,4.458106353771371,3.1998293643229028
ACOT4,ENSG00000177465,protein_coding,74058838,+,chr14,1.088548697010238,2.564914658672826,1.2774492147053829
ACOT6,ENSG00000205669,protein_coding,74077640,+,chr14,-4.840629153339798,-3.4611638922585346,-4.629500896797655
ACOT7,ENSG00000097021,protein_coding,6453426,-,chr1,3.002432496039724,4.474728057227736,3.161613624887983
ACOT8,ENSG00000101473,protein_coding,44485992,-,chr20,2.797448834233223,4.277679815609063,2.9812316129120937
ACOT9,ENSG00000123130,protein_coding,23761317,-,chrX,2.1378641524334494,3.605743216391674,2.3271124707470854
ACOX1,ENSG00000161533,protein_coding,73975198,-,chr17,2.642285683059577,4.098503777649918,2.847856637718352
ACOX2,ENSG00000168306,protein_coding,58522908,-,chr3,0.8420536017612021,2.2738739081606227,1.0105650294557431
ACOX3,ENSG00000087008,protein_coding,8430152,-,chr4,1.4159749464180966,2.914870633200348,1.604166234694249
ACOXL,ENSG00000153093,protein_coding,111490161,+,chr2,-0.8051564880004805,0.6348720231642143,-0.613520111403766
ACP1,ENSG00000143727,protein_coding,264913,+,chr2,4.61725733629057,6.12376757548842,4.827463386938826
ACP2,ENSG00000134575,protein_coding,47270341,-,chr11,4.036986788540843,5.520579396289892,4.228487794488978
ACP5,ENSG00000102575,protein_coding,11688452,-,chr19,3.4534253912835267,4.861027335421917,3.627560148214247
ACP6,ENSG00000162836,protein_coding,147142358,-,chr1,1.3781231530616946,2.805189254839489,1.5732775678760038
ACR,ENSG00000100312,protein_coding,51176626,+,chr22,-2.351074440546878,-0.9862161845669004,-2.202903991745088
ACRBP,ENSG00000111644,protein_coding,6756562,-,chr12,0.5347588693443621,2.02091106558169,0.665301803795675
ACRV1,ENSG00000134940,protein_coding,125550735,-,chr11,-2.365127976835786,-0.8619719552332388,-2.2129019183889955
ACSBG1,ENSG00000103740,protein_coding,78526855,-,chr15,-4.615287037577954,-3.282087830355571,-4.4359633381333925
ACSBG2,ENSG00000130377,protein_coding,6135656,+,chr19,-3.462753639020927,-2.1034568841441006,-3.2919452286716475
ACSF2,ENSG00000167107,protein_coding,48503603,+,chr17,2.60632377540024,4.1046218155351,2.817091101631788
ACSF3,ENSG00000176715,protein_coding,89160269,+,chr16,0.4366948875528766,1.9354220297948328,0.623960479518666
ACSL1,ENSG00000151726,protein_coding,185747114,-,chr4,2.117296085657242,3.584337197377927,2.3544239496068124
ACSL3,ENSG00000123983,protein_coding,223725723,+,chr2,2.997960752697045,4.489189668448327,3.2308793103019395
ACSL4,ENSG00000068366,protein_coding,108976449,-,chrX,3.2731727052893174,4.7539307315977295,3.437454141159276
ACSL5,ENSG00000197142,protein_coding,114135952,+,chr10,2.7406253935899314,4.213938237896818,2.921588666484692
ACSL6,ENSG00000164398,protein_coding,131347321,-,chr5,-6.002310160687201,-4.828280760912152,-5.878321443411747
ACSM1,ENSG00000166743,protein_coding,20687478,-,chr16,-2.248793390257147,-0.7663573169911904,-2.043943347587597
ACSM2A,ENSG00000183747,protein_coding,20462841,+,chr16,-7.643856189774724,-7.643856189774724,-7.643856189774724
ACSM2B,ENSG00000066813,protein_coding,20587665,-,chr16,-7.643856189774724,-7.643856189774724,-7.643856189774724
ACSM3,ENSG00000005187,protein_coding,20775312,+,chr16,1.1701814577652505,2.6123289058362698,1.377512488485005
ACSM5,ENSG00000183549,protein_coding,20420849,+,chr16,-3.580353247468566,-2.1642375813053087,-3.435963338133392
ACSS1,ENSG00000154930,protein_coding,25038752,-,chr20,1.7340050337200494,3.255274114035285,1.886511128675248
ACSS2,ENSG00000131069,protein_coding,33464407,+,chr20,3.339650505333144,4.818058046876168,3.5728532974989067
ACSS3,ENSG00000111058,protein_coding,81471847,+,chr12,-0.4894431045997583,1.003386355934467,-0.3338796974041688
ACTA1,ENSG00000143632,protein_coding,229569834,-,chr1,-2.5631985264295,-1.0347513431557656,-2.380821783940931
ACTA2,ENSG00000107796,protein_coding,90712520,-,chr10,4.063951557609584,5.591236584243826,4.236316575885438
ACTB,ENSG00000075624,protein_coding,5570229,-,chr7,10.294911670714754,11.799980697748143,10.475676694652552
ACTBL2,ENSG00000169067,protein_coding,56778635,-,chr5,-3.5683235586073674,-2.1065601226838826,-3.4453620361356414
ACTC1,ENSG00000159251,protein_coding,35087742,-,chr15,-3.704629612046516,-2.282087830355571,-3.501442751900983
ACTG1,ENSG00000184009,protein_coding,79479822,-,chr17,10.311333494738056,11.759264669461713,10.4580975337303
ACTG2,ENSG00000163017,protein_coding,74120126,+,chr2,1.1387489499285932,2.6942116077678904,1.2684942800478598
ACTL6A,ENSG00000136518,protein_coding,179280702,+,chr3,4.1605330087609085,5.609025039523058,4.38940849207451
ACTL6B,ENSG00000077080,protein_coding,100253993,-,chr7,-6.020925838854548,-4.952322024855524,-5.853084151912724
ACTL7A,ENSG00000187003,protein_coding,111624535,+,chr9,-7.643856189774724,-7.643856189774724,-7.643856189774724
ACTL7B,ENSG00000148156,protein_coding,111618258,-,chr9,-7.643856189774724,-7.643856189774724,-7.643856189774724
ACTL8,ENSG00000117148,protein_coding,18081804,+,chr1,-2.23242994404826,-0.6688680777827979,-2.005203073308613
ACTL9,ENSG00000181786,protein_coding,8809139,-,chr19,-7.643856189774724,-7.643856189774724,-7.643856189774724
ACTN1,ENSG00000072110,protein_coding,69445991,-,chr14,4.770527792540351,6.220184826700284,4.923619857834819
ACTN2,ENSG00000077522,protein_coding,236849791,+,chr1,-4.227016447861896,-2.87514253274424,-4.013916780335185
ACTN4,ENSG00000130402,protein_coding,39138271,+,chr19,7.166506576445156,8.629761683635335,7.319785906491131
ACTR10,ENSG00000131966,protein_coding,58666824,+,chr14,3.5533727919971385,5.031126077495348,3.739329676015583
ACTR1A,ENSG00000138107,protein_coding,104262460,-,chr10,4.211689758263032,5.707549638081857,4.412957618211257
ACTR1B,ENSG00000115073,protein_coding,98280383,-,chr2,5.118567376692638,6.614204812465202,5.312813994627982
ACTR2,ENSG00000138071,protein_coding,65454926,+,chr2,5.530417262131711,6.975729911467197,5.706077394461493
ACTR3,ENSG00000115091,protein_coding,114647617,+,chr2,4.371760965151902,5.852438372517648,4.546666079388541
ACTR3B,ENSG00000133627,protein_coding,152456829,+,chr7,1.4089291998428692,2.886959779439624,1.6191312525654895
ACTR3C,ENSG00000106526,protein_coding,150020578,-,chr7,-0.5053283883524504,0.9155591426583872,-0.3230105221290025
ACTR5,ENSG00000101442,protein_coding,37377090,+,chr20,1.8942551237786769,3.34455867643492,2.056410117098548
ACTR6,ENSG00000075089,protein_coding,100594557,+,chr12,2.160597545880555,3.620422191914284,2.2786984816683247
ACTR8,ENSG00000113812,protein_coding,53916169,-,chr3,2.2734860508197925,3.7588041739851175,2.446812023658349
ACTRT1,ENSG00000123165,protein_coding,127186380,-,chrX,-7.643856189774724,-7.643856189774724,-7.643856189774724
ACTRT2,ENSG00000169717,protein_coding,2938044,+,chr1,-7.643856189774724,-7.643856189774724,-7.643856189774724
ACVR1,ENSG00000115170,protein_coding,158732561,-,chr2,3.2622828064206555,4.755640712919127,3.4584738759149154
ACVR1B,ENSG00000135503,protein_coding,52345448,+,chr12,3.581676630406834,5.060298190142345,3.7682796189167367
ACVR1C,ENSG00000123612,protein_coding,158485364,-,chr2,-3.5030775339919287,-2.115284870903967,-3.3204861207134555
ACVR2A,ENSG00000121989,protein_coding,148602058,+,chr2,0.9051968395625632,2.362329610171569,1.061292338478294
ACVR2B,ENSG00000114739,protein_coding,38495333,+,chr3,0.5333639983398144,2.037206487178466,0.7179121696444286
ACVRL1,ENSG00000139567,protein_coding,52300721,+,chr12,0.9272138083929854,2.373954394865803,1.1450904768024197
ACY1,ENSG00000243989,protein_coding,52017454,+,chr3,-2.933462997604209,-1.4771407448083025,-2.811978948583052
ACY3,ENSG00000132744,protein_coding,67418152,-,chr11,0.4625758880422042,1.959473426489548,0.6876878107322442
ACYP1,ENSG00000119640,protein_coding,75530693,-,chr14,2.009024626137056,3.4679706605897858,2.155522579657465
ACYP2,ENSG00000170634,protein_coding,54342736,+,chr2,1.5852990902967734,3.0162645287170737,1.8208529138065808
ADA,ENSG00000196839,protein_coding,43280325,-,chr20,1.839959587489532,3.336497633595226,2.0226873900702858
ADAD1,ENSG00000164113,protein_coding,123300664,+,chr4,-7.643856189774724,-7.643856189774724,-7.643856189774724
ADAD2,ENSG00000140955,protein_coding,84224794,+,chr16,-5.733123527871812,-4.496549490994431,-5.587272661408358
ADAL,ENSG00000168803,protein_coding,43622843,+,chr15,0.3597460469054708,1.8441445810593435,0.5563067842249769
ADAM10,ENSG00000137845,protein_coding,59041768,-,chr15,2.4331464111795635,3.8809401536453167,2.6162635846615587
ADAM11,ENSG00000073670,protein_coding,42836329,+,chr17,-1.5597919249862502,-0.1261080755466045,-1.3785693322095522
ADAM12,ENSG00000148848,protein_coding,128077034,-,chr10,0.4252444421481007,1.8109777171241443,0.6375638789354056
ADAM15,ENSG00000143537,protein_coding,155023757,+,chr1,4.561075583157994,5.998213559298594,4.677192494849559
ADAM17,ENSG00000151694,protein_coding,9695847,-,chr2,1.787724985997043,3.29736752321766,1.9787813767627345
ADAM18,ENSG00000168619,protein_coding,39442097,+,chr8,-7.643856189774724,-7.643856189774724,-7.643856189774724
ADAM19,ENSG00000135074,protein_coding,157002775,-,chr5,0.4007565031832511,1.878058271834312,0.5532621902724327
ADAM2,ENSG00000104755,protein_coding,39695719,-,chr8,-7.643856189774724,-7.643856189774724,-7.643856189774724
ADAM20,ENSG00000134007,protein_coding,71001708,-,chr14,-5.467533417134262,-4.189680296588923,-5.243318260190996
ADAM21,ENSG00000139985,protein_coding,70918887,+,chr14,-2.605595614599375,-1.1360615495760285,-2.433623199678875
ADAM22,ENSG00000008277,protein_coding,87563557,+,chr7,-2.0655212410931174,-0.5900931804707359,-1.8447688837007208
ADAM23,ENSG00000114948,protein_coding,207308220,+,chr2,-2.565758766748064,-1.0718760695869949,-2.405069330187608
ADAM28,ENSG00000042980,protein_coding,24151557,+,chr8,0.7194025119332604,2.141269284946133,0.9319099375217136
ADAM29,ENSG00000168594,protein_coding,175839551,+,chr4,-7.643856189774724,-7.643856189774724,-7.643856189774724
ADAM30,ENSG00000134249,protein_coding,120439126,-,chr1,-7.643856189774724,-7.643856189774724,-7.643856189774724
ADAM32,ENSG00000197140,protein_coding,38965075,+,chr8,-1.7983661388303496,-0.3684765935211026,-1.5534261474531028
ADAM33,ENSG00000149451,protein_coding,3662666,-,chr20,-0.0649174766813385,1.3977482095885925,0.1402551340349157
ADAM7,ENSG00000069206,protein_coding,24298531,+,chr8,-7.643856189774724,-7.643856189774724,-7.643856189774724
ADAM8,ENSG00000151651,protein_coding,135090360,-,chr10,2.526995245336413,3.953823953941167,2.675499813120945
ADAM9,ENSG00000168615,protein_coding,38854418,+,chr8,1.7580899342018124,3.303576199696641,1.9937105871599576
ADAMDEC1,ENSG00000134028,protein_coding,24242010,+,chr8,-0.0508012681048468,1.414947328020907,0.0717626693000912
ADAMTS1,ENSG00000154734,protein_coding,28217721,-,chr21,3.440101740387508,4.909062620288773,3.6626612554750944
ADAMTS10,ENSG00000142303,protein_coding,8675559,-,chr19,0.0842003616746549,1.5576306501429455,0.276437110436282
ADAMTS12,ENSG00000151388,protein_coding,33892081,-,chr5,0.0777898886436676,1.5332643130717918,0.3000651367787606
ADAMTS13,ENSG00000160323,protein_coding,136287478,+,chr9,-0.0098438333726085,1.4363217744668657,0.1747898930478145
ADAMTS14,ENSG00000138316,protein_coding,72432217,+,chr10,0.3179986178614349,1.816067172902176,0.4780916867383682
ADAMTS15,ENSG00000166106,protein_coding,130318529,+,chr11,1.9368923019890496,3.365300599396577,2.099564527163197
ADAMTS16,ENSG00000145536,protein_coding,5146295,+,chr5,-2.0028882793248264,-0.6778410923706225,-1.867225766723674
ADAMTS17,ENSG00000140470,protein_coding,100882172,-,chr15,-1.0531942938094605,0.3978029618624898,-0.8567372069613801
ADAMTS18,ENSG00000140873,protein_coding,77468905,-,chr16,-3.702749878828293,-2.346664773208869,-3.4787482046301883
