gene_id,gene_type,split,labels,gene_name,TSS,chromosome_name,strand,fpkm_median,tpm_median,fpkm_uq_median
ENSG00000149313,protein_coding,train,0.769085955163703,AASDHPPT,106077689,chr11,+,2.6841903664960176,4.17284750429357,2.867085955586428
ENSG00000008311,protein_coding,train,0.4740706557651543,AASS,122144296,chr7,-,-0.1847524936393254,1.3524195592151618,0.0344974641994448
ENSG00000181409,protein_coding,train,-0.223869539184608,AATK,81128897,chr17,-,-0.745647837266007,0.7399344890375401,-0.5992434968167487
ENSG00000183044,protein_coding,valid,0.4186278047905302,ABAT,8674627,chr16,+,0.8130320777379747,2.298423711931038,0.9759969576164432
ENSG00000165029,protein_coding,train,0.3720582956550506,ABCA1,104928161,chr9,-,1.9369299815805971,3.3713218787461354,2.1490967441793933
ENSG00000154263,protein_coding,train,-0.7757309205406713,ABCA10,69228771,chr17,-,-4.02561753417927,-2.6091122404499902,-3.8426975336810263
ENSG00000144452,protein_coding,train,-1.3442612603158015,ABCA12,215138636,chr2,-,-3.974829424265094,-2.6099927379084407,-3.863546090731349
ENSG00000179869,protein_coding,train,-1.3461106354089365,ABCA13,48171466,chr7,+,-3.3190455863542407,-1.9045481189143396,-3.1228054528737617
ENSG00000107331,protein_coding,train,0.5939016990223362,ABCA2,137028245,chr9,-,2.4195658575242134,3.931040035256754,2.606702789911626
ENSG00000167972,protein_coding,train,0.2512136559474339,ABCA3,2340761,chr16,-,2.294547233895514,3.7789129275197855,2.4303388042681484
ENSG00000198691,protein_coding,test,-1.2018340551432876,ABCA4,94121177,chr1,-,-1.112162828913259,0.3094090492401189,-0.892446029710354
ENSG00000154265,protein_coding,train,0.278948361066719,ABCA5,69327158,chr17,-,-1.0394882898809756,0.4391443759012787,-0.9107730579296044
ENSG00000154262,protein_coding,train,-0.934229047934206,ABCA6,69141921,chr17,-,-3.561494220217251,-2.175924643748438,-3.4065984188743528
ENSG00000064687,protein_coding,train,0.2138721633137366,ABCA7,1040162,chr19,+,0.0683268614345055,1.5974119875546502,0.2519311266885866
ENSG00000141338,protein_coding,train,-0.6124758610215107,ABCA8,68955409,chr17,-,-2.736965594166206,-1.3389801397298358,-2.5933544923279976
ENSG00000154258,protein_coding,train,-1.0528884566447438,ABCA9,69060953,chr17,-,-3.1328942704973457,-1.7451641172142367,-2.9680402586024552
ENSG00000085563,protein_coding,train,-0.5137819166207539,ABCB1,87600891,chr7,-,-2.346664773208869,-0.8945901059599183,-2.2108967824986188
ENSG00000135776,protein_coding,train,0.573163593312114,ABCB10,229558730,chr1,-,2.0441142968214003,3.543000877402425,2.2291264326132785
ENSG00000073734,protein_coding,test,-1.3727887393688525,ABCB11,169031329,chr2,-,-5.795859283219775,-4.5631985264295,-5.673002535434241
ENSG00000005471,protein_coding,train,-0.9938093685447092,ABCB4,87475722,chr7,-,-3.695255342281369,-2.3291596641184382,-3.5597919249862504
ENSG00000004846,protein_coding,test,-1.4468933945211957,ABCB5,20647335,chr7,+,-5.772012541265407,-4.542878542049904,-5.65835575946984
ENSG00000115657,protein_coding,train,0.5953267751388854,ABCB6,219218963,chr2,-,-2.760235373489053,-1.333879697404169,-2.5907448533151625
ENSG00000131269,protein_coding,train,0.8417957234145631,ABCB7,75156294,chrX,-,2.119787758866823,3.554920326497768,2.315247399481585
ENSG00000197150,protein_coding,train,0.4635700849377576,ABCB8,151028466,chr7,+,1.9175845144807933,3.389718231730804,2.0965317426936285
ENSG00000150967,protein_coding,train,-0.2376355351879187,ABCB9,122966480,chr12,-,0.0525550094341052,1.5387367998742167,0.2417181745967014
ENSG00000103222,protein_coding,valid,1.0243875200737926,ABCC1,15949645,chr16,+,3.0255781192123425,4.539369770442091,3.1849467322367717
ENSG00000124574,protein_coding,train,0.4917898350727493,ABCC10,43427585,chr6,+,1.7675700559517402,3.2081426473377217,1.9658766141901904
ENSG00000121270,protein_coding,train,-1.2692955171527367,ABCC11,48244264,chr16,-,-4.710283551513701,-3.339345147964772,-4.516222910048851
ENSG00000140798,protein_coding,valid,-1.4491905617733891,ABCC12,48091226,chr16,-,-7.333516069162574,-6.878321443411748,-7.28771237954945
ENSG00000023839,protein_coding,train,-0.6334545634037179,ABCC2,99782778,chr10,+,-3.801883070847545,-2.420433639839788,-3.643856189774725
ENSG00000108846,protein_coding,train,-0.2494204589648765,ABCC3,50634924,chr17,+,0.199499603660362,1.5900031174216864,0.4035949506416653
ENSG00000125257,protein_coding,train,0.3072560597079729,ABCC4,95301486,chr13,-,2.353662044745063,3.84219443591794,2.573713830134448
ENSG00000114770,protein_coding,valid,0.6046992015250078,ABCC5,184017939,chr3,-,1.9364400701142148,3.4445610603727843,2.1644323175654505
ENSG00000006071,protein_coding,train,-1.1843872982171648,ABCC8,17476884,chr11,-,-6.748553568441418,-5.947862376664825,-6.687799537362322
ENSG00000069431,protein_coding,train,-1.0785360059726263,ABCC9,21941433,chr12,-,-1.4623560380701153,0.0130691500195209,-1.2856006030695974
ENSG00000101986,protein_coding,train,0.4979447847661281,ABCD1,153724864,chrX,+,3.1185756821005888,4.617627613002987,3.327040592958122
ENSG00000173208,protein_coding,train,-1.09570943295137,ABCD2,39619833,chr12,-,-4.752437002928646,-3.392894616241506,-4.651087759005801
ENSG00000117528,protein_coding,train,0.7221920253570172,ABCD3,94418424,chr1,+,2.1648827977763645,3.627233276490875,2.3194445229323417
ENSG00000119688,protein_coding,valid,0.5892560769260781,ABCD4,74303002,chr14,-,1.8984018599921928,3.404072025578163,2.0744026766470087
ENSG00000164163,protein_coding,train,1.011377561928432,ABCE1,145098343,chr4,+,3.1363718759684143,4.620099565355936,3.303824576221467
ENSG00000204574,protein_coding,valid,1.2301880919800747,ABCF1,30571478,chr6,+,4.481350613080706,5.973700809829933,4.633564894677125
ENSG00000033050,protein_coding,train,1.047049849780611,ABCF2,151227246,chr7,-,1.995014096471404,3.4904674438707715,2.16658691407045
ENSG00000161204,protein_coding,train,0.8420716180989956,ABCF3,184186208,chr3,+,3.752984026875827,5.264525171628548,3.937400893460562
ENSG00000160179,protein_coding,train,0.0569227175489978,ABCG1,42219169,chr21,+,1.6765833581877252,3.145335080156779,1.9078136250967472
ENSG00000118777,protein_coding,train,-0.4154255006394912,ABCG2,88158923,chr4,-,-1.4111954329844496,0.1124999762007179,-1.218934101564037
ENSG00000172350,protein_coding,test,-1.0569000163707332,ABCG4,119149059,chr11,+,-1.8598757760909292,-0.4106200045220359,-1.6831591504704124
ENSG00000138075,protein_coding,train,-1.440067893877767,ABCG5,43838769,chr2,-,-3.494922085248385,-2.046921047387493,-3.313297789743922
ENSG00000143921,protein_coding,train,-1.433339212116305,ABCG8,43838985,chr2,+,-4.035046947099201,-2.662003536484984,-3.8889686876112566
ENSG00000143994,protein_coding,train,-0.889017319264794,ABHD1,27123854,chr2,+,-1.1824585998485664,0.2673560117838875,-1.0561911686737453
ENSG00000144827,protein_coding,train,0.8872365395796655,ABHD10,111979061,chr3,+,3.4318903482861813,4.914009534050324,3.5963150079510617
ENSG00000106077,protein_coding,train,0.6206534851895383,ABHD11,73738818,chr7,-,5.438126479550952,6.913062928093672,5.613599424990165
ENSG00000100997,protein_coding,train,1.0286005721616749,ABHD12,25390871,chr20,-,4.36232259588458,5.829420847309681,4.561167254045734
ENSG00000131969,protein_coding,train,-1.3948561652083546,ABHD12B,50872139,chr14,+,-2.6665762662748085,-1.2115648515269442,-2.4747329082979674
ENSG00000139826,protein_coding,train,0.5267900580157528,ABHD13,108218530,chr13,+,1.632128593094363,3.07825116563813,1.7890614722492513
ENSG00000248487,protein_coding,train,0.629859652676697,ABHD14A,51975086,chr3,+,2.028887358654898,3.4923146848925275,2.1820884000888183
ENSG00000114786,protein_coding,train,0.9556341825213586,ABHD14A-ACY1,51974055,chr3,+,-5.368849142274855,-4.115284870903968,-5.216250016992825
ENSG00000168792,protein_coding,train,0.4432108500350685,ABHD15,29567042,chr17,-,1.282439805006387,2.7645160137979525,1.4968202305942957
ENSG00000204427,protein_coding,train,0.8358900467596686,ABHD16A,31703365,chr6,-,-0.3705268032130515,1.1355348697611896,-0.2077276725154755
ENSG00000183260,protein_coding,valid,-1.4491905617733891,ABHD16B,63861487,chr20,+,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000140526,protein_coding,train,0.9751699999583352,ABHD2,89088494,chr15,+,2.2737545785459234,3.742846998801302,2.4387718958517697
ENSG00000158201,protein_coding,train,0.8050467200784884,ABHD3,21704818,chr18,-,1.102590949588091,2.5655728057997327,1.3176513849083635
ENSG00000100439,protein_coding,train,1.018453560587025,ABHD4,22598310,chr14,+,3.7501240967254335,5.25748590490512,3.929061892790431
ENSG00000011198,protein_coding,train,0.5608170179339997,ABHD5,43690944,chr3,+,1.4803685373472129,2.9604190365978176,1.6490635657706112
ENSG00000163686,protein_coding,train,0.3581881873813229,ABHD6,58237846,chr3,+,0.6695710760389655,2.156267163051804,0.879627356812398
ENSG00000127220,protein_coding,train,0.6537798821924938,ABHD8,17303440,chr19,-,3.66287768906408,5.167084907519902,3.868953394338586
ENSG00000136754,protein_coding,train,1.1505030982883622,ABI1,26860969,chr10,-,4.082847328384981,5.560699671607082,4.300145694376973
ENSG00000138443,protein_coding,train,0.8460815132575525,ABI2,203328315,chr2,+,1.6798291191088166,3.120501245603332,1.8738525619432396
ENSG00000108798,protein_coding,train,-0.1493316422896653,ABI3,49210718,chr17,+,2.0032064306332487,3.4942235796443826,2.19377174339668
ENSG00000154175,protein_coding,train,-0.5011314573136484,ABI3BP,100993430,chr3,-,-0.5517333399360453,0.9058129809517658,-0.392137097168765
ENSG00000097007,protein_coding,train,1.2121041008086308,ABL1,130835288,chr9,+,3.6847177678041,5.133592293871798,3.862530739850408
ENSG00000143322,protein_coding,train,0.4888951262575199,ABL2,179143084,chr1,-,0.6885832272461475,2.139534981298352,0.873813198359087
ENSG00000099204,protein_coding,train,1.015758230469934,ABLIM1,114526934,chr10,-,4.087971937900058,5.515778671924722,4.251567620608247
ENSG00000163995,protein_coding,train,-0.6297566001158119,ABLIM2,8158855,chr4,-,-0.2520541072553783,1.207830395958694,-0.0635599298857853
ENSG00000173210,protein_coding,train,0.2927282800099599,ABLIM3,149141513,chr5,+,-1.4932965131993434,0.0040339012844897,-1.30721574336599
ENSG00000159842,protein_coding,train,1.2328417936111888,ABR,1180000,chr17,-,1.432799098920934,2.906602027742592,1.6156517047922965
ENSG00000174429,protein_coding,train,-1.4468933945211957,ABRA,106770251,chr8,-,-5.772012541265407,-4.580353247468567,-5.643856189774724
ENSG00000146109,protein_coding,train,1.0084733223054254,ABT1,26596985,chr6,+,3.935054227505596,5.395724340176078,4.111315148073592
ENSG00000114626,protein_coding,train,0.461154554536113,ABTB1,127673018,chr3,+,2.4123208731047203,3.889697425198831,2.615557546389908
ENSG00000166016,protein_coding,train,0.1537382297286452,ABTB2,34358016,chr11,-,0.8372974156630684,2.320455794944972,1.0347087397421657
ENSG00000060971,protein_coding,train,0.7963392338379507,ACAA1,38137141,chr3,-,1.9724720977767265,3.454939161247385,2.1365195325505604
ENSG00000167315,protein_coding,train,1.3124194079247662,ACAA2,49813540,chr18,-,2.994090899051175,4.441563154943667,3.199970667250641
ENSG00000076555,protein_coding,train,0.2033171001742706,ACACB,109131367,chr12,+,0.1793836543562975,1.6520963695597537,0.3549034611356432
ENSG00000111271,protein_coding,train,0.3934115533863255,ACAD10,111686109,chr12,+,1.7387678368001918,3.25303622837362,1.9107326619029128
ENSG00000240303,protein_coding,train,0.6154639702637639,ACAD11,132659822,chr3,-,-3.871970611259359,-2.4924844135207715,-3.706511797624492
ENSG00000151498,protein_coding,valid,0.492597198101181,ACAD8,134253591,chr11,+,1.5624744580963246,3.011835519505456,1.7625189096745548
ENSG00000177646,protein_coding,train,0.8131870414813965,ACAD9,128879668,chr3,+,3.416799216202047,4.869022512336869,3.626789546375812
ENSG00000115361,protein_coding,test,-1.1123945331559366,ACADL,210225397,chr2,-,-4.45166202449138,-3.040971781056306,-4.265344566520995
ENSG00000117054,protein_coding,train,0.8703904196144504,ACADM,75724772,chr1,+,3.326896826636041,4.795133136361324,3.4988252777355067
ENSG00000122971,protein_coding,train,0.4564521239750612,ACADS,120725879,chr12,+,2.4985317188697285,3.972141200200944,2.6946573655470862
ENSG00000196177,protein_coding,train,0.564759445847469,ACADSB,123009026,chr10,+,1.352137026844267,2.907967405946532,1.5653047080272502
ENSG00000072778,protein_coding,valid,1.8316750449461088,ACADVL,7219956,chr17,+,4.928048108836801,6.420620507239236,5.122179865677476
ENSG00000157766,protein_coding,train,-1.1238531606032574,ACAN,88803442,chr15,+,-3.3032939207483114,-1.8847003559744528,-3.154570167148848
ENSG00000072818,protein_coding,train,-0.3001345849692677,ACAP1,7336583,chr17,+,-0.0259112723541398,1.4272307014252832,0.184089827056126
ENSG00000114331,protein_coding,train,0.6632829139688156,ACAP2,195443048,chr3,-,2.4526744987607367,3.937372643081997,2.621829173194685
ENSG00000131584,protein_coding,train,0.7981379453145877,ACAP3,1307938,chr1,-,1.8489984304000229,3.3196179342001613,1.9924058990316509
ENSG00000075239,protein_coding,train,0.7783664802125382,ACAT1,108121573,chr11,+,2.0735117857042225,3.5010314386253607,2.291338332358177
ENSG00000120437,protein_coding,train,1.1151990473008444,ACAT2,159762072,chr6,+,2.1365195325505604,3.5818453187543,2.32972638767445
ENSG00000182827,protein_coding,valid,1.0778383954367907,ACBD3,226186763,chr1,-,4.172535519204872,5.655054098916663,4.329460903458294
ENSG00000181513,protein_coding,train,0.4083254957151485,ACBD4,45135719,chr17,+,1.9121516371628544,3.36535659703048,2.073100419644867
ENSG00000107897,protein_coding,train,0.8185695409554647,ACBD5,27240827,chr10,-,1.0106366361087369,2.4596939029832408,1.1941501055915813
ENSG00000176244,protein_coding,train,-0.6766083100575945,ACBD7,15088783,chr10,-,1.964435600212331,3.380258445826212,2.1084240918930277
ENSG00000110455,protein_coding,train,0.0792918892202248,ACCS,44066536,chr11,+,1.2214440529543986,2.6814267757391868,1.3820585089760682
ENSG00000102977,protein_coding,train,0.8827349094780804,ACD,67660279,chr16,-,2.749255355423618,4.230118453953958,2.9290903063753952
ENSG00000159640,protein_coding,test,-0.3888328797925734,ACE,63477069,chr17,+,0.931456140912712,2.4390645668432067,1.128161400914489
ENSG00000130234,protein_coding,train,-1.1344080509198593,ACE2,15600950,chrX,-,-5.28771237954945,-3.9590374522215024,-5.122805452873762
ENSG00000167769,protein_coding,train,-1.382692316418072,ACER1,6333601,chr19,-,-5.137965260044767,-3.8889686876112566,-5.016249351645075
ENSG00000177076,protein_coding,valid,-0.0404869456434086,ACER2,19409018,chr9,+,0.3893465361624977,1.8013656276227656,0.5979839937899456
ENSG00000078124,protein_coding,train,0.4620157301624409,ACER3,76860947,chr11,+,1.557238520207222,3.008504816767422,1.7671038843842035
ENSG00000087085,protein_coding,train,-0.369054795480859,ACHE,100895894,chr7,-,-1.6748438822584089,-0.1819675253419055,-1.5525794954095031
ENSG00000100813,protein_coding,train,1.3225301634237296,ACIN1,23095153,chr14,-,4.024266481494827,5.512454462873314,4.175269092901939
ENSG00000131473,protein_coding,train,1.8115657941460843,ACLY,41918960,chr17,-,4.083187833597508,5.593580855060949,4.268314613175228
ENSG00000153086,protein_coding,train,-1.4378143784255997,ACMSD,134838623,chr2,+,-3.952322024855525,-2.587272661408357,-3.830331500476914
ENSG00000122729,protein_coding,train,1.1293866760000606,ACO1,32384711,chr9,+,2.1210485659833997,3.512479746919633,2.2564974345655497
ENSG00000100412,protein_coding,train,1.3472069925850785,ACO2,41469148,chr22,+,2.5620592132181104,4.108633177525158,2.7041194425947883
ENSG00000184227,protein_coding,train,0.4839527752984449,ACOT1,73537148,chr14,+,0.4466797112284494,1.8857305340014647,0.6039764063991209
ENSG00000162390,protein_coding,train,-0.3714230685505342,ACOT11,54548239,chr1,+,0.0444640665132457,1.5338623213874585,0.2322923620891483
ENSG00000172497,protein_coding,train,-1.2756416199680445,ACOT12,81394139,chr5,-,-6.5328248773859805,-5.553002759323611,-6.467533417134262
ENSG00000112304,protein_coding,valid,0.6496323799777496,ACOT13,24667137,chr6,+,1.9401667504828168,3.434588198548479,2.0999684171548854
ENSG00000119673,protein_coding,train,0.7003173376778883,ACOT2,73569301,chr14,+,3.0229004021100785,4.458106353771371,3.1998293643229028
ENSG00000177465,protein_coding,train,-0.5058359333325643,ACOT4,73592175,chr14,+,1.088548697010238,2.564914658672826,1.2774492147053829
ENSG00000205669,protein_coding,train,-1.4267046408819954,ACOT6,73610940,chr14,+,-4.840629153339798,-3.4611638922585346,-4.629500896797655
ENSG00000097021,protein_coding,train,0.9111484381328908,ACOT7,6393387,chr1,-,3.0024324960397237,4.474728057227736,3.161613624887983
ENSG00000101473,protein_coding,train,0.5910074232054373,ACOT8,45857417,chr20,-,2.797448834233223,4.277679815609063,2.9812316129120937
ENSG00000123130,protein_coding,train,0.7642792255587064,ACOT9,23743302,chrX,-,2.1378641524334494,3.605743216391674,2.3271124707470854
ENSG00000161533,protein_coding,train,0.7641708910958264,ACOX1,75979188,chr17,-,2.642285683059577,4.098503777649918,2.847856637718352
ENSG00000168306,protein_coding,train,-0.206618034004626,ACOX2,58537208,chr3,-,0.8420536017612021,2.2738739081606227,1.0105650294557431
ENSG00000087008,protein_coding,train,0.5307408905533345,ACOX3,8428473,chr4,-,1.4159749464180966,2.914870633200348,1.604166234694249
ENSG00000153093,protein_coding,train,-1.3333139103797556,ACOXL,110732639,chr2,+,-0.8051564880004805,0.6348720231642143,-0.613520111403766
ENSG00000143727,protein_coding,train,1.2223842333148351,ACP1,264964,chr2,+,4.61725733629057,6.12376757548842,4.827463386938826
ENSG00000134575,protein_coding,train,0.8939593347982987,ACP2,47248824,chr11,-,4.036986788540843,5.520579396289892,4.228487794488978
ENSG00000102575,protein_coding,train,0.277862306917685,ACP5,11577671,chr19,-,3.4534253912835267,4.861027335421917,3.627560148214247
ENSG00000162836,protein_coding,train,0.4793140572164203,ACP6,147670285,chr1,-,1.3781231530616946,2.805189254839489,1.5732775678760038
ENSG00000100312,protein_coding,train,-1.2373037939736886,ACR,50738235,chr22,+,-2.351074440546878,-0.9862161845669004,-2.202903991745088
ENSG00000111644,protein_coding,train,-0.5841357605020664,ACRBP,6647441,chr12,-,0.5347588693443621,2.02091106558169,0.665301803795675
ENSG00000134940,protein_coding,train,-1.378706039930046,ACRV1,125680852,chr11,-,-2.365127976835786,-0.8619719552332388,-2.2129019183889955
ENSG00000103740,protein_coding,train,-0.8400288372907682,ACSBG1,78234574,chr15,-,-4.615287037577954,-3.282087830355571,-4.4359633381333925
ENSG00000130377,protein_coding,train,-1.4158491531920192,ACSBG2,6135714,chr19,+,-3.462753639020927,-2.1034568841441006,-3.2919452286716475
ENSG00000167107,protein_coding,train,0.3890833402677349,ACSF2,50426261,chr17,+,2.60632377540024,4.1046218155351,2.817091101631788
ENSG00000176715,protein_coding,train,0.3999941721956708,ACSF3,89093941,chr16,+,0.4366948875528766,1.9354220297948328,0.623960479518666
ENSG00000151726,protein_coding,train,0.6312382016463213,ACSL1,184825974,chr4,-,2.117296085657242,3.584337197377927,2.3544239496068124
ENSG00000123983,protein_coding,train,1.0663236159390903,ACSL3,222861047,chr2,+,2.997960752697045,4.489189668448327,3.2308793103019395
ENSG00000068366,protein_coding,train,1.09394915751596,ACSL4,109733272,chrX,-,3.2731727052893174,4.7539307315977295,3.437454141159276
ENSG00000197142,protein_coding,train,-0.1912693782173603,ACSL5,112376264,chr10,+,2.7406253935899314,4.213938237896818,2.921588666484692
ENSG00000164398,protein_coding,train,-1.0946176853795873,ACSL6,132011678,chr5,-,-6.002310160687201,-4.828280760912152,-5.878321443411747
ENSG00000166743,protein_coding,train,-1.1158031522096954,ACSM1,20676166,chr16,-,-2.248793390257147,-0.7663573169911904,-2.043943347587597
ENSG00000183747,protein_coding,train,-1.4608462860149525,ACSM2A,20451543,chr16,+,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000066813,protein_coding,valid,-1.4632121967076763,ACSM2B,20576367,chr16,-,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000005187,protein_coding,train,-0.2130353038908877,ACSM3,20764030,chr16,+,1.1701814577652505,2.6123289058362698,1.377512488485005
ENSG00000183549,protein_coding,train,-1.4180004680382643,ACSM5,20409545,chr16,+,-3.580353247468566,-2.1642375813053087,-3.435963338133392
ENSG00000154930,protein_coding,train,0.3054357371075275,ACSS1,25058149,chr20,-,1.7340050337200494,3.255274114035285,1.886511128675248
ENSG00000131069,protein_coding,train,0.9587069388156364,ACSS2,34876620,chr20,+,3.339650505333144,4.818058046876168,3.5728532974989067
ENSG00000111058,protein_coding,train,-0.0073969311812584,ACSS3,81078098,chr12,+,-0.4894431045997583,1.003386355934467,-0.3338796974041688
ENSG00000143632,protein_coding,test,-0.4812679001707323,ACTA1,229434102,chr1,-,-2.5631985264295,-1.0347513431557656,-2.380821783940931
ENSG00000107796,protein_coding,train,1.245303042624141,ACTA2,88952779,chr10,-,4.063951557609584,5.591236584243826,4.236316575885438
ENSG00000075624,protein_coding,train,3.2576765184943013,ACTB,5530603,chr7,-,10.294911670714754,11.799980697748143,10.475676694652552
ENSG00000169067,protein_coding,train,-1.4446072979975124,ACTBL2,57482813,chr5,-,-3.5683235586073674,-2.1065601226838826,-3.4453620361356414
ENSG00000159251,protein_coding,train,-0.8458021025952097,ACTC1,34795556,chr15,-,-3.704629612046516,-2.282087830355571,-3.501442751900983
ENSG00000184009,protein_coding,valid,3.266395777879994,ACTG1,81512804,chr17,-,10.311333494738056,11.759264669461713,10.4580975337303
ENSG00000163017,protein_coding,train,-0.4483207343529354,ACTG2,73893015,chr2,+,1.1387489499285932,2.6942116077678904,1.2684942800478598
ENSG00000136518,protein_coding,train,0.9594684388158894,ACTL6A,179562981,chr3,+,4.1605330087609085,5.609025039523058,4.38940849207451
ENSG00000077080,protein_coding,test,-1.378706039930046,ACTL6B,100656455,chr7,-,-6.020925838854548,-4.952322024855524,-5.853084151912724
ENSG00000187003,protein_coding,train,-1.4632121967076763,ACTL7A,108862287,chr9,+,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000148156,protein_coding,train,-1.4267046408819954,ACTL7B,108855989,chr9,-,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000117148,protein_coding,valid,-1.420161583897135,ACTL8,17755388,chr1,+,-2.23242994404826,-0.6688680777827979,-2.005203073308613
ENSG00000181786,protein_coding,train,-1.4632121967076763,ACTL9,8698808,chr19,-,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000072110,protein_coding,train,1.3210252104919642,ACTN1,68979312,chr14,-,4.770527792540351,6.220184826700284,4.923619857834819
ENSG00000077522,protein_coding,train,-0.8362186633077959,ACTN2,236686506,chr1,+,-4.227016447861896,-2.87514253274424,-4.013916780335185
ENSG00000130402,protein_coding,train,1.8579706561530505,ACTN4,38647665,chr19,+,7.166506576445156,8.629761683635335,7.319785906491131
ENSG00000131966,protein_coding,train,0.9852701054863484,ACTR10,58200184,chr14,+,3.5533727919971385,5.031126077495348,3.739329676015583
ENSG00000138107,protein_coding,train,1.4291914826750836,ACTR1A,102502732,chr10,-,4.211689758263032,5.707549638081857,4.412957618211257
ENSG00000115073,protein_coding,train,1.335292379548474,ACTR1B,97664051,chr2,-,5.118567376692638,6.614204812465202,5.312813994627982
ENSG00000138071,protein_coding,train,1.6067615761995953,ACTR2,65227857,chr2,+,5.530417262131711,6.975729911467197,5.706077394461493
ENSG00000115091,protein_coding,train,1.1352701826858491,ACTR3,113890162,chr2,+,4.371760965151902,5.852438372517648,4.546666079388541
ENSG00000133627,protein_coding,train,-0.0212642906118807,ACTR3B,152759815,chr7,+,1.4089291998428692,2.886959779439624,1.6191312525654895
ENSG00000106526,protein_coding,train,-0.733158502526402,ACTR3C,150323593,chr7,-,-0.5053283883524504,0.9155591426583872,-0.3230105221290025
ENSG00000101442,protein_coding,train,0.6014123901498433,ACTR5,38748483,chr20,+,1.8942551237786769,3.34455867643492,2.056410117098548
ENSG00000075089,protein_coding,train,0.5733904299987376,ACTR6,100200856,chr12,+,2.160597545880555,3.620422191914284,2.2786984816683247
ENSG00000113812,protein_coding,train,0.6338977933777171,ACTR8,53882160,chr3,-,2.2734860508197925,3.7588041739851175,2.446812023658349
ENSG00000123165,protein_coding,train,-1.4632121967076763,ACTRT1,128052403,chrX,-,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000169717,protein_coding,train,-1.4632121967076763,ACTRT2,3021524,chr1,+,-7.643856189774724,-7.643856189774724,-7.643856189774724
ENSG00000115170,protein_coding,train,0.6966838715033966,ACVR1,157876119,chr2,-,3.2622828064206555,4.755640712919127,3.4584738759149154
ENSG00000135503,protein_coding,train,0.6773589360576127,ACVR1B,51951748,chr12,+,3.581676630406834,5.060298190142345,3.7682796189167367
ENSG00000123612,protein_coding,train,-0.9136840070080322,ACVR1C,157628873,chr2,-,-3.5030775339919287,-2.115284870903967,-3.3204861207134555
