<<<<<<< HEAD
,gene_name,gene_stable_id,gene_id,gene_type,TSS,genomic_strand,chromosome_name
112,ACAP2,ENSG00000114331,ENSG00000114331.15,protein_coding,195443048,-,chr3
113,ACAP3,ENSG00000131584,ENSG00000131584.19,protein_coding,1307938,-,chr1
114,ACAT1,ENSG00000075239,ENSG00000075239.14,protein_coding,108121573,+,chr11
115,ACAT2,ENSG00000120437,ENSG00000120437.9,protein_coding,159762072,+,chr6
116,ACBD3,ENSG00000182827,ENSG00000182827.9,protein_coding,226186763,-,chr1
117,ACBD4,ENSG00000181513,ENSG00000181513.15,protein_coding,45135719,+,chr17
118,ACBD5,ENSG00000107897,ENSG00000107897.20,protein_coding,27240827,-,chr10
119,ACBD7,ENSG00000176244,ENSG00000176244.7,protein_coding,15088783,-,chr10
120,ACCS,ENSG00000110455,ENSG00000110455.14,protein_coding,44066536,+,chr11
121,ACD,ENSG00000102977,ENSG00000102977.17,protein_coding,67660279,-,chr16
122,ACE,ENSG00000159640,ENSG00000159640.17,protein_coding,63477069,+,chr17
123,ACE2,ENSG00000130234,ENSG00000130234.13,protein_coding,15600950,-,chrX
124,ACER1,ENSG00000167769,ENSG00000167769.5,protein_coding,6333601,-,chr19
125,ACER2,ENSG00000177076,ENSG00000177076.6,protein_coding,19409018,+,chr9
126,ACER3,ENSG00000078124,ENSG00000078124.13,protein_coding,76860947,+,chr11
127,ACHE,ENSG00000087085,ENSG00000087085.16,protein_coding,100895894,-,chr7
128,ACIN1,ENSG00000100813,ENSG00000100813.15,protein_coding,23095153,-,chr14
129,ACLY,ENSG00000131473,ENSG00000131473.17,protein_coding,41918960,-,chr17
130,ACMSD,ENSG00000153086,ENSG00000153086.14,protein_coding,134838623,+,chr2
131,ACO1,ENSG00000122729,ENSG00000122729.19,protein_coding,32384711,+,chr9
132,ACO2,ENSG00000100412,ENSG00000100412.17,protein_coding,41469148,+,chr22
133,ACOT1,ENSG00000184227,ENSG00000184227.8,protein_coding,73537148,+,chr14
134,ACOT11,ENSG00000162390,ENSG00000162390.18,protein_coding,54548239,+,chr1
135,ACOT12,ENSG00000172497,ENSG00000172497.9,protein_coding,81394139,-,chr5
136,ACOT13,ENSG00000112304,ENSG00000112304.11,protein_coding,24667137,+,chr6
137,ACOT2,ENSG00000119673,ENSG00000119673.15,protein_coding,73569301,+,chr14
138,ACOT4,ENSG00000177465,ENSG00000177465.5,protein_coding,73592175,+,chr14
139,ACOT6,ENSG00000205669,ENSG00000205669.4,protein_coding,73610940,+,chr14
140,ACOT7,ENSG00000097021,ENSG00000097021.20,protein_coding,6393387,-,chr1
141,ACOT8,ENSG00000101473,ENSG00000101473.17,protein_coding,45857417,-,chr20
142,ACOT9,ENSG00000123130,ENSG00000123130.17,protein_coding,23743302,-,chrX
143,ACOX1,ENSG00000161533,ENSG00000161533.12,protein_coding,75979188,-,chr17
144,ACOX2,ENSG00000168306,ENSG00000168306.13,protein_coding,58537208,-,chr3
145,ACOX3,ENSG00000087008,ENSG00000087008.16,protein_coding,8428473,-,chr4
146,ACOXL,ENSG00000153093,ENSG00000153093.20,protein_coding,110732639,+,chr2
147,ACP1,ENSG00000143727,ENSG00000143727.16,protein_coding,264964,+,chr2
148,ACP2,ENSG00000134575,ENSG00000134575.13,protein_coding,47248824,-,chr11
149,ACP5,ENSG00000102575,ENSG00000102575.13,protein_coding,11577671,-,chr19
150,ACP6,ENSG00000162836,ENSG00000162836.12,protein_coding,147670285,-,chr1
151,ACR,ENSG00000100312,ENSG00000100312.11,protein_coding,50738235,+,chr22
152,ACRBP,ENSG00000111644,ENSG00000111644.8,protein_coding,6647441,-,chr12
153,ACRV1,ENSG00000134940,ENSG00000134940.14,protein_coding,125680852,-,chr11
154,ACSBG1,ENSG00000103740,ENSG00000103740.10,protein_coding,78234574,-,chr15
155,ACSBG2,ENSG00000130377,ENSG00000130377.14,protein_coding,6135714,+,chr19
156,ACSF2,ENSG00000167107,ENSG00000167107.13,protein_coding,50426261,+,chr17
157,ACSF3,ENSG00000176715,ENSG00000176715.17,protein_coding,89093941,+,chr16
158,ACSL1,ENSG00000151726,ENSG00000151726.15,protein_coding,184825974,-,chr4
159,ACSL3,ENSG00000123983,ENSG00000123983.15,protein_coding,222861047,+,chr2
160,ACSL4,ENSG00000068366,ENSG00000068366.21,protein_coding,109733272,-,chrX
161,ACSL5,ENSG00000197142,ENSG00000197142.11,protein_coding,112376264,+,chr10
162,ACSL6,ENSG00000164398,ENSG00000164398.15,protein_coding,132011678,-,chr5
163,ACSM1,ENSG00000166743,ENSG00000166743.10,protein_coding,20676166,-,chr16
164,ACSM2A,ENSG00000183747,ENSG00000183747.12,protein_coding,20451543,+,chr16
165,ACSM2B,ENSG00000066813,ENSG00000066813.14,protein_coding,20576367,-,chr16
166,ACSM3,ENSG00000005187,ENSG00000005187.12,protein_coding,20764030,+,chr16
167,ACSM5,ENSG00000183549,ENSG00000183549.10,protein_coding,20409545,+,chr16
168,ACSS1,ENSG00000154930,ENSG00000154930.15,protein_coding,25058149,-,chr20
169,ACSS2,ENSG00000131069,ENSG00000131069.20,protein_coding,34876620,+,chr20
170,ACSS3,ENSG00000111058,ENSG00000111058.8,protein_coding,81078098,+,chr12
171,ACTA1,ENSG00000143632,ENSG00000143632.15,protein_coding,229434102,-,chr1
172,ACTA2,ENSG00000107796,ENSG00000107796.13,protein_coding,88952779,-,chr10
173,ACTB,ENSG00000075624,ENSG00000075624.17,protein_coding,5530603,-,chr7
174,ACTBL2,ENSG00000169067,ENSG00000169067.4,protein_coding,57482813,-,chr5
175,ACTC1,ENSG00000159251,ENSG00000159251.8,protein_coding,34795556,-,chr15
176,ACTG1,ENSG00000184009,ENSG00000184009.13,protein_coding,81512804,-,chr17
177,ACTG2,ENSG00000163017,ENSG00000163017.14,protein_coding,73893015,+,chr2
178,ACTL6A,ENSG00000136518,ENSG00000136518.17,protein_coding,179562981,+,chr3
179,ACTL6B,ENSG00000077080,ENSG00000077080.10,protein_coding,100656455,-,chr7
180,ACTL7A,ENSG00000187003,ENSG00000187003.7,protein_coding,108862287,+,chr9
181,ACTL7B,ENSG00000148156,ENSG00000148156.8,protein_coding,108855989,-,chr9
182,ACTL8,ENSG00000117148,ENSG00000117148.8,protein_coding,17755388,+,chr1
183,ACTL9,ENSG00000181786,ENSG00000181786.5,protein_coding,8698808,-,chr19
184,ACTN1,ENSG00000072110,ENSG00000072110.16,protein_coding,68979312,-,chr14
185,ACTN2,ENSG00000077522,ENSG00000077522.15,protein_coding,236686506,+,chr1
186,ACTN4,ENSG00000130402,ENSG00000130402.13,protein_coding,38647665,+,chr19
187,ACTR10,ENSG00000131966,ENSG00000131966.14,protein_coding,58200184,+,chr14
188,ACTR1A,ENSG00000138107,ENSG00000138107.13,protein_coding,102502732,-,chr10
189,ACTR1B,ENSG00000115073,ENSG00000115073.8,protein_coding,97664051,-,chr2
190,ACTR2,ENSG00000138071,ENSG00000138071.14,protein_coding,65227857,+,chr2
191,ACTR3,ENSG00000115091,ENSG00000115091.12,protein_coding,113890162,+,chr2
192,ACTR3B,ENSG00000133627,ENSG00000133627.18,protein_coding,152759815,+,chr7
193,ACTR3C,ENSG00000106526,ENSG00000106526.11,protein_coding,150323593,-,chr7
194,ACTR5,ENSG00000101442,ENSG00000101442.10,protein_coding,38748483,+,chr20
195,ACTR6,ENSG00000075089,ENSG00000075089.10,protein_coding,100200856,+,chr12
196,ACTR8,ENSG00000113812,ENSG00000113812.14,protein_coding,53882160,-,chr3
197,ACTRT1,ENSG00000123165,ENSG00000123165.9,protein_coding,128052403,-,chrX
198,ACTRT2,ENSG00000169717,ENSG00000169717.7,protein_coding,3021524,+,chr1
199,ACVR1,ENSG00000115170,ENSG00000115170.16,protein_coding,157876119,-,chr2
200,ACVR1B,ENSG00000135503,ENSG00000135503.13,protein_coding,51951748,+,chr12
201,ACVR1C,ENSG00000123612,ENSG00000123612.16,protein_coding,157628873,-,chr2
202,ACVR2A,ENSG00000121989,ENSG00000121989.15,protein_coding,147844581,+,chr2
203,ACVR2B,ENSG00000114739,ENSG00000114739.14,protein_coding,38453931,+,chr3
204,ACVRL1,ENSG00000139567,ENSG00000139567.13,protein_coding,51906957,+,chr12
205,ACY1,ENSG00000243989,ENSG00000243989.9,protein_coding,51983556,+,chr3
206,ACY3,ENSG00000132744,ENSG00000132744.8,protein_coding,67650742,-,chr11
207,ACYP1,ENSG00000119640,ENSG00000119640.9,protein_coding,75064058,-,chr14
208,ACYP2,ENSG00000170634,ENSG00000170634.13,protein_coding,54115649,+,chr2
209,ADA,ENSG00000196839,ENSG00000196839.13,protein_coding,44651707,-,chr20
210,ADAD1,ENSG00000164113,ENSG00000164113.11,protein_coding,122379568,+,chr4
211,ADAD2,ENSG00000140955,ENSG00000140955.11,protein_coding,84191225,+,chr16
212,ADAL,ENSG00000168803,ENSG00000168803.16,protein_coding,43330724,+,chr15
213,ADAM10,ENSG00000137845,ENSG00000137845.15,protein_coding,58749751,-,chr15
214,ADAM11,ENSG00000073670,ENSG00000073670.14,protein_coding,44759021,+,chr17
215,ADAM12,ENSG00000148848,ENSG00000148848.15,protein_coding,126388486,-,chr10
216,ADAM15,ENSG00000143537,ENSG00000143537.14,protein_coding,155051357,+,chr1
217,ADAM17,ENSG00000151694,ENSG00000151694.14,protein_coding,9555837,-,chr2
218,ADAM18,ENSG00000168619,ENSG00000168619.16,protein_coding,39584598,+,chr8
219,ADAM19,ENSG00000135074,ENSG00000135074.16,protein_coding,157575782,-,chr5
220,ADAM2,ENSG00000104755,ENSG00000104755.15,protein_coding,39838232,-,chr8
221,ADAM20,ENSG00000134007,ENSG00000134007.5,protein_coding,70535029,-,chr14
222,ADAM21,ENSG00000139985,ENSG00000139985.8,protein_coding,70452196,+,chr14
223,ADAM22,ENSG00000008277,ENSG00000008277.15,protein_coding,87934326,+,chr7
224,ADAM23,ENSG00000114948,ENSG00000114948.13,protein_coding,206443543,+,chr2
225,ADAM28,ENSG00000042980,ENSG00000042980.13,protein_coding,24294077,+,chr8
226,ADAM29,ENSG00000168594,ENSG00000168594.15,protein_coding,174918416,+,chr4
227,ADAM30,ENSG00000134249,ENSG00000134249.7,protein_coding,119896520,-,chr1
228,ADAM32,ENSG00000197140,ENSG00000197140.15,protein_coding,39107588,+,chr8
229,ADAM33,ENSG00000149451,ENSG00000149451.18,protein_coding,3682052,-,chr20
230,ADAM7,ENSG00000069206,ENSG00000069206.15,protein_coding,24441038,+,chr8
231,ADAM8,ENSG00000151651,ENSG00000151651.16,protein_coding,133276880,-,chr10
232,ADAM9,ENSG00000168615,ENSG00000168615.13,protein_coding,38996995,+,chr8
233,ADAMDEC1,ENSG00000134028,ENSG00000134028.14,protein_coding,24384513,+,chr8
234,ADAMTS1,ENSG00000154734,ENSG00000154734.16,protein_coding,26845416,-,chr21
235,ADAMTS10,ENSG00000142303,ENSG00000142303.14,protein_coding,8610727,-,chr19
236,ADAMTS12,ENSG00000151388,ENSG00000151388.11,protein_coding,33891996,-,chr5
237,ADAMTS13,ENSG00000160323,ENSG00000160323.19,protein_coding,133422394,+,chr9
238,ADAMTS14,ENSG00000138316,ENSG00000138316.11,protein_coding,70672543,+,chr10
239,ADAMTS15,ENSG00000166106,ENSG00000166106.4,protein_coding,130448652,+,chr11
240,ADAMTS16,ENSG00000145536,ENSG00000145536.15,protein_coding,5146253,+,chr5
241,ADAMTS17,ENSG00000140470,ENSG00000140470.15,protein_coding,100341981,-,chr15
242,ADAMTS18,ENSG00000140873,ENSG00000140873.16,protein_coding,77435047,-,chr16
243,ADAMTS19,ENSG00000145808,ENSG00000145808.10,protein_coding,129460319,+,chr5
244,ADAMTS2,ENSG00000087116,ENSG00000087116.16,protein_coding,179345485,-,chr5
245,ADAMTS20,ENSG00000173157,ENSG00000173157.17,protein_coding,43552213,-,chr12
246,ADAMTS3,ENSG00000156140,ENSG00000156140.10,protein_coding,72569244,-,chr4
247,ADAMTS4,ENSG00000158859,ENSG00000158859.10,protein_coding,161199061,-,chr1
248,ADAMTS5,ENSG00000154736,ENSG00000154736.6,protein_coding,26967097,-,chr21
249,ADAMTS6,ENSG00000049192,ENSG00000049192.15,protein_coding,65481855,-,chr5
250,ADAMTS7,ENSG00000136378,ENSG00000136378.15,protein_coding,78811473,-,chr15
251,ADAMTS8,ENSG00000134917,ENSG00000134917.10,protein_coding,130428614,-,chr11
252,ADAMTS9,ENSG00000163638,ENSG00000163638.13,protein_coding,64688008,-,chr3
253,ADAMTSL1,ENSG00000178031,ENSG00000178031.18,protein_coding,18474162,+,chr9
254,ADAMTSL2,ENSG00000197859,ENSG00000197859.11,protein_coding,133534713,+,chr9
255,ADAMTSL3,ENSG00000156218,ENSG00000156218.13,protein_coding,83654136,+,chr15
256,ADAMTSL4,ENSG00000143382,ENSG00000143382.16,protein_coding,150549425,+,chr1
257,ADAMTSL5,ENSG00000185761,ENSG00000185761.11,protein_coding,1513033,-,chr19
258,ADAP1,ENSG00000105963,ENSG00000105963.15,protein_coding,954693,-,chr7
259,ADAP2,ENSG00000184060,ENSG00000184060.11,protein_coding,30921960,+,chr17
260,ADAR,ENSG00000160710,ENSG00000160710.18,protein_coding,154608219,-,chr1
261,ADARB1,ENSG00000197381,ENSG00000197381.17,protein_coding,45074628,+,chr21
262,ADARB2,ENSG00000185736,ENSG00000185736.16,protein_coding,1240556,-,chr10
263,ADAT1,ENSG00000065457,ENSG00000065457.11,protein_coding,75623301,-,chr16
264,ADAT2,ENSG00000189007,ENSG00000189007.16,protein_coding,143450732,-,chr6
265,ADAT3,ENSG00000213638,ENSG00000213638.6,protein_coding,1905412,+,chr19
266,ADCK1,ENSG00000063761,ENSG00000063761.16,protein_coding,77800144,+,chr14
267,ADCK2,ENSG00000133597,ENSG00000133597.11,protein_coding,140672972,+,chr7
268,ADCK5,ENSG00000173137,ENSG00000173137.12,protein_coding,144374086,+,chr8
269,ADCY1,ENSG00000164742,ENSG00000164742.16,protein_coding,45574439,+,chr7
270,ADCY10,ENSG00000143199,ENSG00000143199.18,protein_coding,167914139,-,chr1
271,ADCY2,ENSG00000078295,ENSG00000078295.17,protein_coding,7396211,+,chr5
272,ADCY3,ENSG00000138031,ENSG00000138031.15,protein_coding,24920271,-,chr2
273,ADCY4,ENSG00000129467,ENSG00000129467.14,protein_coding,24335086,-,chr14
274,ADCY5,ENSG00000173175,ENSG00000173175.15,protein_coding,123449795,-,chr3
275,ADCY6,ENSG00000174233,ENSG00000174233.12,protein_coding,48789103,-,chr12
276,ADCY7,ENSG00000121281,ENSG00000121281.13,protein_coding,50266574,+,chr16
277,ADCY8,ENSG00000155897,ENSG00000155897.10,protein_coding,131040881,-,chr8
278,ADCY9,ENSG00000162104,ENSG00000162104.10,protein_coding,4116469,-,chr16
279,ADCYAP1,ENSG00000141433,ENSG00000141433.13,protein_coding,904421,+,chr18
280,ADCYAP1R1,ENSG00000078549,ENSG00000078549.15,protein_coding,31052377,+,chr7
281,ADD1,ENSG00000087274,ENSG00000087274.18,protein_coding,2843927,+,chr4
282,ADD2,ENSG00000075340,ENSG00000075340.23,protein_coding,70768207,-,chr2
283,ADD3,ENSG00000148700,ENSG00000148700.15,protein_coding,110007994,+,chr10
284,ADH1A,ENSG00000187758,ENSG00000187758.8,protein_coding,99290991,-,chr4
285,ADH1B,ENSG00000196616,ENSG00000196616.14,protein_coding,99321407,-,chr4
286,ADH4,ENSG00000198099,ENSG00000198099.9,protein_coding,99144312,-,chr4
287,ADH5,ENSG00000197894,ENSG00000197894.12,protein_coding,99088747,-,chr4
288,ADH6,ENSG00000172955,ENSG00000172955.17,protein_coding,99219252,-,chr4
289,ADH7,ENSG00000196344,ENSG00000196344.12,protein_coding,99435364,-,chr4
290,ADHFE1,ENSG00000147576,ENSG00000147576.17,protein_coding,66432515,+,chr8
291,ADI1,ENSG00000182551,ENSG00000182551.14,protein_coding,3519542,-,chr2
292,ADIG,ENSG00000182035,ENSG00000182035.12,protein_coding,38581203,+,chr20
293,ADIPOQ,ENSG00000181092,ENSG00000181092.10,protein_coding,186842716,+,chr3
294,ADIPOR1,ENSG00000159346,ENSG00000159346.13,protein_coding,202958320,-,chr1
295,ADIPOR2,ENSG00000006831,ENSG00000006831.10,protein_coding,1691084,+,chr12
296,ADK,ENSG00000156110,ENSG00000156110.15,protein_coding,74176779,+,chr10
297,ADM,ENSG00000148926,ENSG00000148926.10,protein_coding,10305083,+,chr11
298,ADM2,ENSG00000128165,ENSG00000128165.9,protein_coding,50481561,+,chr22
299,ADNP,ENSG00000101126,ENSG00000101126.18,protein_coding,50931451,-,chr20
300,ADNP2,ENSG00000101544,ENSG00000101544.9,protein_coding,80109292,+,chr18
301,ADO,ENSG00000181915,ENSG00000181915.5,protein_coding,62804955,+,chr10
302,ADORA1,ENSG00000163485,ENSG00000163485.17,protein_coding,203128348,+,chr1
303,ADORA2A,ENSG00000128271,ENSG00000128271.22,protein_coding,24423949,+,chr22
304,ADORA2B,ENSG00000170425,ENSG00000170425.4,protein_coding,15945310,+,chr17
305,ADPGK,ENSG00000159322,ENSG00000159322.18,protein_coding,72783780,-,chr15
306,ADPRH,ENSG00000144843,ENSG00000144843.11,protein_coding,119579797,+,chr3
307,ADPRHL1,ENSG00000153531,ENSG00000153531.14,protein_coding,113453495,-,chr13
308,ADRA1A,ENSG00000120907,ENSG00000120907.18,protein_coding,26867283,-,chr8
309,ADRA1B,ENSG00000170214,ENSG00000170214.5,protein_coding,159916521,+,chr5
310,ADRA1D,ENSG00000171873,ENSG00000171873.8,protein_coding,4249305,-,chr20
311,ADRA2A,ENSG00000150594,ENSG00000150594.7,protein_coding,111077039,+,chr10
312,ADRA2C,ENSG00000184160,ENSG00000184160.8,protein_coding,3765921,+,chr4
