chromosome_name,start,end,locus_id,color,strand,start2,end2,RGB,p,gene_name,Gene stable ID,gene_id
chr1,94528797,94528798,"p11@ABCA4,0.1364",6.0,-,94528797,94528798,"211,211,211",p11,ABCA4,ENSG00000198691,ENSG00000198691.7
chr17,67311020,67311021,"p21@ABCA5,0.0798",-464.0,-,67311020,67311021,"211,211,211",p21,ABCA5,ENSG00000154265,ENSG00000154265.11
chr17,67114510,67114540,"p11@ABCA6,0.0650",-381.0,-,67114510,67114540,"211,211,211",p11,ABCA6,ENSG00000154262,ENSG00000154262.8
chr19,1042475,1042476,"p14@ABCA7,0.1809",-184.0,+,1042475,1042476,"30,144,255",p14,ABCA7,ENSG00000064687,ENSG00000064687.8
chr17,66951606,66951615,"p5@ABCA8,0.1723",-73.0,-,66951606,66951615,"30,144,255",p5,ABCA8,ENSG00000141338,ENSG00000141338.9
chr17,67031950,67031959,"p5@ABCA9,0.0441",-484.0,-,67031950,67031959,"211,211,211",p5,ABCA9,ENSG00000154258,ENSG00000154258.12
chr7,87230370,87230371,"p12@ABCB1,0.3476",17.0,-,87230370,87230371,"60,179,113",p12,ABCB1,ENSG00000085563,ENSG00000085563.10
chr1,229694822,229694823,"p10@ABCB10,0.2781",-380.0,-,229694822,229694823,"60,179,113",p10,ABCB10,ENSG00000135776,ENSG00000135776.4
chr2,169826852,169826853,"p7@ABCB11,0.1002",247.0,-,169826852,169826853,"211,211,211",p7,ABCB11,ENSG00000263298,ENSG00000263298.1
chr2,169826852,169826853,"p7@ABCB11,0.1002",247.0,-,169826852,169826853,"211,211,211",p7,ABCB11,ENSG00000073734,ENSG00000073734.8
chr7,87105263,87105264,"p8@ABCB4,0.2017",-208.0,-,87105263,87105264,"30,144,255",p8,ABCB4,ENSG00000005471,ENSG00000005471.11
chr7,20655108,20655111,"p10@ABCB5,0.3401",-133.0,+,20655108,20655111,"60,179,113",p10,ABCB5,ENSG00000004846,ENSG00000004846.12
chr2,220078344,220078345,"p20@ABCB6,0.1723",-202.0,-,220078344,220078345,"30,144,255",p20,ABCB6,ENSG00000115657,ENSG00000115657.8
chrX,74376571,74376590,"p3@ABCB7,0.1573",-4.0,-,74376571,74376590,"30,144,255",p3,ABCB7,ENSG00000131269,ENSG00000131269.11
chr7,150732640,150732666,"p7@ABCB8,0.1807",-39.0,+,150732640,150732666,"30,144,255",p7,ABCB8,ENSG00000197150,ENSG00000197150.8
chr12,123466016,123466017,"p32@ABCB9,0.2487",178.0,-,123466016,123466017,"60,179,113",p32,ABCB9,ENSG00000150967,ENSG00000150967.13
chr16,16218524,16218526,"p20@ABCC1,0.1474",-173.0,+,16218524,16218526,"30,144,255",p20,ABCC1,ENSG00000103222,ENSG00000103222.14
chr6,43415170,43415172,"p9@ABCC10,0.1070",-291.0,+,43415170,43415172,"211,211,211",p9,ABCC10,ENSG00000124574,ENSG00000124574.10
chr16,48281340,48281344,"p7@ABCC11,0.3721",-35.0,-,48281340,48281344,"60,179,113",p7,ABCC11,ENSG00000121270,ENSG00000121270.11
chr16,48125236,48125239,"p8@ABCC12,0.3027",-87.0,-,48125236,48125239,"60,179,113",p8,ABCC12,ENSG00000140798,ENSG00000140798.11
chr21,15646089,15646090,"p10@ABCC13,0.3438",-29.0,+,15646089,15646090,"60,179,113",p10,ABCC13,ENSG00000243064,ENSG00000243064.4
chr10,101542411,101542414,"p7@ABCC2,0.5780",-48.0,+,101542411,101542414,"60,179,113",p7,ABCC2,ENSG00000023839,ENSG00000023839.6
chr17,48739512,48739513,"p24@ABCC3,0.2847",0.0,+,48739512,48739513,"60,179,113",p24,ABCC3,ENSG00000108846,ENSG00000108846.11
chr13,95708515,95708516,"p10@ABCC4,0.0947",-442.0,-,95708515,95708516,"211,211,211",p10,ABCC4,ENSG00000125257,ENSG00000125257.9
chr3,183735995,183735999,"p14@ABCC5,0.2577",-192.0,-,183735995,183735999,"60,179,113",p14,ABCC5,ENSG00000114770,ENSG00000114770.12
chr3,183723869,183723871,"p2@ABCC5-AS1,0.0703",-254.0,+,183723869,183723871,"211,211,211",p2,ABCC5-AS1,ENSG00000223882,ENSG00000223882.1
chr16,18582537,18582539,"p1@ABCC6P1,0.2461",27.0,+,18582537,18582539,"60,179,113",p1,ABCC6P1,ENSG00000256340,ENSG00000256340.4
chr11,17435299,17435302,"p10@ABCC8,0.1400",-200.0,-,17435299,17435302,"30,144,255",p10,ABCC8,ENSG00000006071,ENSG00000006071.7
chr12,22089920,22089921,"p12@ABCC9,0.1143",-292.0,-,22089920,22089921,"211,211,211",p12,ABCC9,ENSG00000069431,ENSG00000069431.6
chrX,152989983,152989984,"p13@ABCD1,0.1744",-338.0,+,152989983,152989984,"30,144,255",p13,ABCD1,ENSG00000101986,ENSG00000101986.8
chrX,152989983,152989984,"p13@ABCD1,0.1744",-338.0,+,152989983,152989984,"30,144,255",p13,ABCD1,ENSG00000268757,ENSG00000268757.2
chr12,40013832,40013833,"p7@ABCD2,0.4809",9.0,-,40013832,40013833,"60,179,113",p7,ABCD2,ENSG00000173208,ENSG00000173208.3
chr1,94883592,94883596,"p8@ABCD3,0.3006",-336.0,+,94883592,94883596,"60,179,113",p8,ABCD3,ENSG00000117528,ENSG00000117528.7
chr14,74762665,74762666,"p7@ABCD4,0.1326",-22.0,-,74762665,74762666,"211,211,211",p7,ABCD4,ENSG00000119688,ENSG00000119688.16
chr4,146019074,146019086,"p6@ABCE1,0.2506",0.0,+,146019074,146019086,"60,179,113",p6,ABCE1,ENSG00000164163,ENSG00000164163.6
chr6,30538727,30538745,"p10@ABCF1,0.2726",-407.0,+,30538727,30538745,"60,179,113",p10,ABCF1,ENSG00000232169,ENSG00000232169.5
chr6,30538727,30538745,"p10@ABCF1,0.2726",-407.0,+,30538727,30538745,"60,179,113",p10,ABCF1,ENSG00000206490,ENSG00000206490.7
chr6,30538727,30538745,"p10@ABCF1,0.2726",-407.0,+,30538727,30538745,"60,179,113",p10,ABCF1,ENSG00000231129,ENSG00000231129.4
chr6,30538727,30538745,"p10@ABCF1,0.2726",-407.0,+,30538727,30538745,"60,179,113",p10,ABCF1,ENSG00000225989,ENSG00000225989.5
chr6,30538727,30538745,"p10@ABCF1,0.2726",-407.0,+,30538727,30538745,"60,179,113",p10,ABCF1,ENSG00000236342,ENSG00000236342.4
chr6,30538727,30538745,"p10@ABCF1,0.2726",-407.0,+,30538727,30538745,"60,179,113",p10,ABCF1,ENSG00000204574,ENSG00000204574.8
chr6,30538727,30538745,"p10@ABCF1,0.2726",-407.0,+,30538727,30538745,"60,179,113",p10,ABCF1,ENSG00000236149,ENSG00000236149.5
chr7,150912161,150912182,"p10@ABCF2,0.1302",0.0,-,150912161,150912182,"211,211,211",p10,ABCF2,ENSG00000033050,ENSG00000033050.3
chr3,183906551,183906557,"p2@ABCF3,0.1447",9.0,+,183906551,183906557,"30,144,255",p2,ABCF3,ENSG00000161204,ENSG00000161204.7
chr21,43639132,43639133,"p13@ABCG1,0.2913",-93.0,+,43639132,43639133,"60,179,113",p13,ABCG1,ENSG00000160179,ENSG00000160179.14
chr4,89152391,89152392,"p33@ABCG2,0.1912",81.0,-,89152391,89152392,"30,144,255",p33,ABCG2,ENSG00000118777,ENSG00000118777.6
chr11,119020445,119020467,"p8@ABCG4,0.3113",-138.0,+,119020445,119020467,"60,179,113",p8,ABCG4,ENSG00000172350,ENSG00000172350.5
chr2,44066126,44066127,"p12@ABCG5,0.2153",-122.0,-,44066126,44066127,"30,144,255",p12,ABCG5,ENSG00000138075,ENSG00000138075.7
chr2,44065858,44065870,"p2@ABCG8,0.1582",-232.0,+,44065858,44065870,"30,144,255",p2,ABCG8,ENSG00000143921,ENSG00000143921.6
chr2,27346347,27346356,"p5@ABHD1,0.2174",-300.0,+,27346347,27346356,"30,144,255",p5,ABHD1,ENSG00000143994,ENSG00000143994.9
chr3,111697716,111697723,"p4@ABHD10,0.4036",-104.0,+,111697716,111697723,"60,179,113",p4,ABHD10,ENSG00000144827,ENSG00000144827.4
chr7,73153494,73153495,"p6@ABHD11,0.2577",-297.0,-,73153494,73153495,"60,179,113",p6,ABHD11,ENSG00000106077,ENSG00000106077.14
chr7,73153494,73153495,"p6@ABHD11,0.2577",-297.0,-,73153494,73153495,"60,179,113",p6,ABHD11,ENSG00000262947,ENSG00000262947.2
chr20,25300938,25300939,"p16@ABHD12,0.1457",-15.0,-,25300938,25300939,"30,144,255",p16,ABHD12,ENSG00000100997,ENSG00000100997.14
chr14,51360401,51360407,"p10@ABHD12B,0.0887",-50.0,+,51360401,51360407,"211,211,211",p10,ABHD12B,ENSG00000131969,ENSG00000131969.10
chr13,108883970,108883971,"p10@ABHD13,0.0976",-314.0,+,108883970,108883971,"211,211,211",p10,ABHD13,ENSG00000139826,ENSG00000139826.5
chr3,52008829,52008830,"p11@ABHD14A,p12@ACY1,p5@ABHD14A-ACY1,0.2648",-211.0,+,52008829,52008830,"60,179,113",p11,ABHD14A,ENSG00000248487,ENSG00000248487.4
chr3,52008742,52008782,"p2@ABHD14A-ACY1,p4@ABHD14A,p6@ACY1,0.2399",-259.0,+,52008742,52008782,"60,179,113",p2,ABHD14A-ACY1,ENSG00000114786,ENSG00000114786.11
chr3,52017411,52017419,"p7@ABHD14B,0.5410",5.0,-,52017411,52017419,"60,179,113",p7,ABHD14B,ENSG00000114779,ENSG00000114779.15
chr17,27893232,27893255,"p7@ABHD15,0.2659",299.0,-,27893232,27893255,"60,179,113",p7,ABHD15,ENSG00000168792,ENSG00000168792.4
chr6,31660475,31660476,"p19@ABHD16A,0.1592",-404.0,-,31660475,31660476,"30,144,255",p19,ABHD16A,ENSG00000230475,ENSG00000230475.5
chr6,31660475,31660476,"p19@ABHD16A,0.1592",-404.0,-,31660475,31660476,"30,144,255",p19,ABHD16A,ENSG00000204427,ENSG00000204427.7
chr6,31660475,31660476,"p19@ABHD16A,0.1592",-404.0,-,31660475,31660476,"30,144,255",p19,ABHD16A,ENSG00000235676,ENSG00000235676.5
chr6,31660475,31660476,"p19@ABHD16A,0.1592",-404.0,-,31660475,31660476,"30,144,255",p19,ABHD16A,ENSG00000206403,ENSG00000206403.7
chr6,31660475,31660476,"p19@ABHD16A,0.1592",-404.0,-,31660475,31660476,"30,144,255",p19,ABHD16A,ENSG00000231488,ENSG00000231488.5
chr6,31660475,31660476,"p19@ABHD16A,0.1592",-404.0,-,31660475,31660476,"30,144,255",p19,ABHD16A,ENSG00000224552,ENSG00000224552.5
chr6,31660475,31660476,"p19@ABHD16A,0.1592",-404.0,-,31660475,31660476,"30,144,255",p19,ABHD16A,ENSG00000236063,ENSG00000236063.5
chr20,62493025,62493043,"p2@ABHD16B,0.2569",132.0,+,62493025,62493043,"60,179,113",p2,ABHD16B,ENSG00000183260,ENSG00000183260.5
chr15,89645284,89645285,"p46@ABHD2,0.1067",-386.0,+,89645284,89645285,"211,211,211",p46,ABHD2,ENSG00000140526,ENSG00000140526.12
chr18,19243901,19243903,"p3@ABHD3,0.1040",287.0,-,19243901,19243903,"211,211,211",p3,ABHD3,ENSG00000158201,ENSG00000158201.5
chr14,23067014,23067015,"p15@ABHD4,0.2756",-130.0,+,23067014,23067015,"60,179,113",p15,ABHD4,ENSG00000100439,ENSG00000100439.6
chr3,43763241,43763242,"p10@ABHD5,0.0789",478.0,+,43763241,43763242,"211,211,211",p10,ABHD5,ENSG00000011198,ENSG00000011198.3
chr3,58224042,58224043,"p15@ABHD6,0.4191",-105.0,+,58224042,58224043,"60,179,113",p15,ABHD6,ENSG00000163686,ENSG00000163686.9
chr19,17405610,17405651,"p5@ABHD8,0.2266",-34.0,-,17405610,17405651,"30,144,255",p5,ABHD8,ENSG00000127220,ENSG00000127220.5
chr10,27057815,27057820,"p8@ABI1,0.2402",39.0,-,27057815,27057820,"60,179,113",p8,ABI1,ENSG00000136754,ENSG00000136754.12
chr2,204267162,204267164,"p28@ABI2,0.1516",-264.0,+,204267162,204267164,"30,144,255",p28,ABI2,ENSG00000138443,ENSG00000138443.11
chr17,47287111,47287113,"p7@ABI3,0.1451",-475.0,+,47287111,47287113,"30,144,255",p7,ABI3,ENSG00000108798,ENSG00000108798.4
chr3,100645300,100645304,"p29@ABI3BP,0.4062",-83.0,-,100645300,100645304,"60,179,113",p29,ABI3BP,ENSG00000154175,ENSG00000154175.12
chr9,133755503,133755516,"p28@ABL1,0.2649",-9.0,+,133755503,133755516,"60,179,113",p28,ABL1,ENSG00000097007,ENSG00000097007.13
chr1,179073366,179073367,"p11@ABL2,0.0727",-384.0,-,179073366,179073367,"211,211,211",p11,ABL2,ENSG00000143322,ENSG00000143322.15
chr10,116417910,116417911,"p57@ABLIM1,0.2730",145.0,-,116417910,116417911,"60,179,113",p57,ABLIM1,ENSG00000099204,ENSG00000099204.14
chr4,8012412,8012413,"p23@ABLIM2,0.5180",41.0,-,8012412,8012413,"60,179,113",p23,ABLIM2,ENSG00000163995,ENSG00000163995.14
chr5,148520863,148520864,"p11@ABLIM3,0.2858",-181.0,+,148520863,148520864,"60,179,113",p11,ABLIM3,ENSG00000173210,ENSG00000173210.15
chr9,136130838,136130839,"p13@ABO,0.1986",228.0,-,136130838,136130839,"30,144,255",p13,ABO,ENSG00000175164,ENSG00000175164.9
chr9,136130838,136130839,"p13@ABO,0.1986",228.0,-,136130838,136130839,"30,144,255",p13,ABO,ENSG00000256062,ENSG00000256062.4
chr17,995518,995519,"p69@ABR,0.1914",-418.0,-,995518,995519,"30,144,255",p69,ABR,ENSG00000159842,ENSG00000159842.10
chr8,107782049,107782050,"p5@ABRA,0.1144",367.0,-,107782049,107782050,"211,211,211",p5,ABRA,ENSG00000174429,ENSG00000174429.3
chr6,26597363,26597406,"p2@ABT1,0.2921",153.0,+,26597363,26597406,"60,179,113",p2,ABT1,ENSG00000146109,ENSG00000146109.3
chr6,26597363,26597406,"p2@ABT1,0.2921",153.0,+,26597363,26597406,"60,179,113",p2,ABT1,ENSG00000268612,ENSG00000268612.1
chr3,127392343,127392344,"p14@ABTB1,0.1967",486.0,+,127392343,127392344,"30,144,255",p14,ABTB1,ENSG00000114626,ENSG00000114626.13
chr11,34176012,34176015,"p9@ABTB2,0.1294",-125.0,-,34176012,34176015,"211,211,211",p9,ABTB2,ENSG00000166016,ENSG00000166016.4
chr3,38168068,38168078,"p7@ACAA1,0.1762",-235.0,-,38168068,38168078,"30,144,255",p7,ACAA1,ENSG00000060971,ENSG00000060971.13
chr18,47340472,47340475,"p14@ACAA2,0.1784",-189.0,-,47340472,47340475,"30,144,255",p14,ACAA2,ENSG00000167315,ENSG00000167315.13
chr17,35722705,35722719,"p22@ACACA,0.1972",-14.0,-,35722705,35722719,"30,144,255",p22,ACACA,ENSG00000132142,ENSG00000132142.15
chr12,109617061,109617062,"p39@ACACB,0.1584",84.0,+,109617061,109617062,"30,144,255",p39,ACACB,ENSG00000076555,ENSG00000076555.11
chr12,112186196,112186197,"p7@ACAD10,0.1477",-352.0,+,112186196,112186197,"30,144,255",p7,ACAD10,ENSG00000111271,ENSG00000111271.10
chr3,132379849,132379850,"p22@ACAD11,0.2306",-282.0,-,132379849,132379850,"60,179,113",p22,ACAD11,ENSG00000240303,ENSG00000240303.3
chr11,134131183,134131186,"p4@ACAD8,0.1650",-454.0,+,134131183,134131186,"30,144,255",p4,ACAD8,ENSG00000151498,ENSG00000151498.7
chr3,128598207,128598209,"p5@ACAD9,0.2277",-123.0,+,128598207,128598209,"30,144,255",p5,ACAD9,ENSG00000177646,ENSG00000177646.13
chr2,211090035,211090038,"p15@ACADL,0.2207",132.0,-,211090035,211090038,"30,144,255",p15,ACADL,ENSG00000115361,ENSG00000115361.3
chr1,76200180,76200181,"p12@ACADM,0.1080",-134.0,+,76200180,76200181,"211,211,211",p12,ACADM,ENSG00000117054,ENSG00000117054.9
chr12,121163596,121163599,"p2@ACADS,0.3944",19.0,+,121163596,121163599,"60,179,113",p2,ACADS,ENSG00000122971,ENSG00000122971.4
chr10,124768399,124768400,"p8@ACADSB,0.4371",-28.0,+,124768399,124768400,"60,179,113",p8,ACADSB,ENSG00000196177,ENSG00000196177.8
chr17,7120425,7120445,"p6@ACADVL,0.1760",0.0,+,7120425,7120445,"30,144,255",p6,ACADVL,ENSG00000072778,ENSG00000072778.15
chr15,89346226,89346227,"p29@ACAN,0.2577",-446.0,+,89346226,89346227,"60,179,113",p29,ACAN,ENSG00000157766,ENSG00000157766.11
chr17,7239904,7239915,"p2@ACAP1,0.3252",56.0,+,7239904,7239915,"60,179,113",p2,ACAP1,ENSG00000072818,ENSG00000072818.7
chr3,195077123,195077126,"p23@ACAP2,0.1166",-182.0,-,195077123,195077126,"211,211,211",p23,ACAP2,ENSG00000114331,ENSG00000114331.8
chr1,1243694,1243695,"p22@ACAP3,0.2819",-296.0,-,1243694,1243695,"60,179,113",p22,ACAP3,ENSG00000131584,ENSG00000131584.14
chr11,107992126,107992127,"p9@ACAT1,0.2892",-115.0,+,107992126,107992127,"60,179,113",p9,ACAT1,ENSG00000075239,ENSG00000075239.9
chr6,160182810,160182813,"p7@ACAT2,0.3199",-175.0,+,160182810,160182813,"60,179,113",p7,ACAT2,ENSG00000120437,ENSG00000120437.7
chr1,226374867,226374869,"p18@ACBD3,0.2760",-436.0,-,226374867,226374869,"60,179,113",p18,ACBD3,ENSG00000182827,ENSG00000182827.8
chr17,43213202,43213212,"p4@ACBD4,0.2351",188.0,+,43213202,43213212,"60,179,113",p4,ACBD4,ENSG00000181513,ENSG00000181513.10
chr10,27531216,27531217,"p20@ACBD5,0.2831",-148.0,-,27531216,27531217,"60,179,113",p20,ACBD5,ENSG00000107897,ENSG00000107897.14
chr1,180472134,180472135,"p10@ACBD6,0.2910",-45.0,-,180472134,180472135,"60,179,113",p10,ACBD6,ENSG00000135847,ENSG00000135847.5
chr10,15130630,15130664,"p3@ACBD7,0.3370",-150.0,-,15130630,15130664,"60,179,113",p3,ACBD7,ENSG00000176244,ENSG00000176244.6
chr11,44096190,44096191,"p12@ACCS,0.1439",10.0,+,44096190,44096191,"30,144,255",p12,ACCS,ENSG00000110455,ENSG00000110455.9
chr16,67694658,67694671,"p8@ACD,0.6251",-12.0,-,67694658,67694671,"60,179,113",p8,ACD,ENSG00000102977,ENSG00000102977.9
chr17,61556408,61556413,"p15@ACE,0.5767",-12.0,+,61556408,61556413,"60,179,113",p15,ACE,ENSG00000159640,ENSG00000159640.10
chr17,61556408,61556413,"p15@ACE,0.5767",-12.0,+,61556408,61556413,"60,179,113",p15,ACE,ENSG00000264813,ENSG00000264813.1
chrX,15619292,15619309,"p6@ACE2,0.1663",-90.0,-,15619292,15619309,"30,144,255",p6,ACE2,ENSG00000130234,ENSG00000130234.6
chr19,6333588,6333597,"p3@ACER1,0.5073",42.0,-,6333588,6333597,"60,179,113",p3,ACER1,ENSG00000167769,ENSG00000167769.4
chr9,19408919,19408931,"p4@ACER2,0.5456",0.0,+,19408919,19408931,"60,179,113",p4,ACER2,ENSG00000177076,ENSG00000177076.4
chr11,76709140,76709141,"p3@ACER3,0.0779",-456.0,+,76709140,76709141,"211,211,211",p3,ACER3,ENSG00000262970,ENSG00000262970.2
chr11,76709140,76709141,"p3@ACER3,0.0779",-456.0,+,76709140,76709141,"211,211,211",p3,ACER3,ENSG00000078124,ENSG00000078124.7
chr7,100492110,100492111,"p16@ACHE,0.3612",-101.0,-,100492110,100492111,"60,179,113",p16,ACHE,ENSG00000087085,ENSG00000087085.9
chr14,23541209,23541210,"p44@ACIN1,0.1087",-383.0,-,23541209,23541210,"211,211,211",p44,ACIN1,ENSG00000100813,ENSG00000100813.10
chr17,40070088,40070099,"p5@ACLY,0.2392",27.0,-,40070088,40070099,"60,179,113",p5,ACLY,ENSG00000260245,ENSG00000260245.1
chr17,40070088,40070099,"p5@ACLY,0.2392",27.0,-,40070088,40070099,"60,179,113",p5,ACLY,ENSG00000131473,ENSG00000131473.12
chr2,135595975,135595977,"p6@ACMSD,0.1761",-139.0,+,135595975,135595977,"30,144,255",p6,ACMSD,ENSG00000153086,ENSG00000153086.9
chr7,96745963,96745989,"p7@ACN9,0.1619",58.0,+,96745963,96745989,"30,144,255",p7,ACN9,ENSG00000196636,ENSG00000196636.7
chr9,32384359,32384360,"p4@ACO1,0.3431",-240.0,+,32384359,32384360,"60,179,113",p4,ACO1,ENSG00000122729,ENSG00000122729.14
chr22,41911830,41911831,"p13@ACO2,0.3098",60.0,+,41911830,41911831,"60,179,113",p13,ACO2,ENSG00000100412,ENSG00000100412.11
chr14,74004037,74004047,"p6@ACOT1,0.6453",-50.0,+,74004037,74004047,"60,179,113",p6,ACOT1,ENSG00000184227,ENSG00000184227.3
chr1,55007487,55007488,"p15@ACOT11,0.1541",-441.0,+,55007487,55007488,"30,144,255",p15,ACOT11,ENSG00000162390,ENSG00000162390.13
chr5,80690025,80690029,"p6@ACOT12,0.4318",-27.0,-,80690025,80690029,"60,179,113",p6,ACOT12,ENSG00000172497,ENSG00000172497.4
chr6,24667553,24667557,"p7@ACOT13,0.2722",290.0,+,24667553,24667557,"60,179,113",p7,ACOT13,ENSG00000112304,ENSG00000112304.6
chr14,74035758,74035777,"p5@ACOT2,0.4216",0.0,+,74035758,74035777,"60,179,113",p5,ACOT2,ENSG00000119673,ENSG00000119673.10
chr14,74058481,74058484,"p7@ACOT4,0.2913",71.0,+,74058481,74058484,"60,179,113",p7,ACOT4,ENSG00000177465,ENSG00000177465.4
