	gene_id	gene_type	split	labels	gene_name	TSS	chromosome_name	strand	fpkm_median	tpm_median	fpkm_uq_median
7646	ENSG00000197172	protein_coding	train	-1.4632121967076763	MAGEA6	152698806	chrX	-	-7.643856189774724	-7.643856189774724	-7.643856189774724
7662	ENSG00000187243	protein_coding	valid	0.380111875652444	MAGED4B	52184895	chrX	-	-3.99539074674741	-2.5597919249862504	-3.807932115520349
8241	ENSG00000173531	protein_coding	train	-0.0451184007125683	MST1	16644772	chr3	-	0.8044666427327776	2.2559840683146444	0.983166915779335
8730	ENSG00000170113	protein_coding	train	0.3808417041628154	NIPA1	22786673	chr15	+	0.142870845096642	1.585923976958601	0.3807294485035483
8731	ENSG00000140157	protein_coding	train	1.1385983049547037	NIPA2	22838745	chr15	+	2.75565673440824	4.204038960611853	2.899465687454493
9031	ENSG00000186364	protein_coding	train	-0.0169713734348347	NUDT17	145845643	chr1	+	0.7141355938563326	2.2174168584105782	0.9272138083929854
9533	ENSG00000178104	protein_coding	train	0.4615648331558352	PDE4DIP	148844434	chr1	+	1.0842003616746554	2.5599077975985525	1.255682002812213
9536	ENSG00000133256	protein_coding	train	-0.5630494396876923	PDE6B	664224	chr4	+	1.704650675240352	3.226662655661173	1.872474197051212
9595	ENSG00000174827	protein_coding	train	-0.9404913713649196	PDZK1	145707384	chr1	-	-2.324093762105477	-0.8730271437422344	-2.046325015550513
9624	ENSG00000131779	protein_coding	train	1.0670679861126162	PEX11B	145918730	chr1	-	4.43992228293178	5.895872121371541	4.619049062772908
9755	ENSG00000131788	protein_coding	train	0.8797891699891651	PIAS3	145859841	chr1	-	3.4839834103005733	4.934176781921816	3.638884763069193
10089	ENSG00000186141	protein_coding	train	0.8578050305411866	POLR3C	145824243	chr1	+	3.295590795920764	4.747414255230029	3.4890676105845206
10094	ENSG00000121851	protein_coding	train	0.8506721402434374	POLR3GL	145964706	chr1	+	1.8723953935531243	3.3452544267473905	2.056687565122844
11794	ENSG00000122852	protein_coding	train	-1.4514989074990443	SFTPA1	79560412	chr10	+	-7.643856189774724	-7.643856189774724	-7.643856189774724
13049	ENSG00000204176	protein_coding	train	-0.7641806150514064	SYT15	46579142	chr10	+	-4.189680296588923	-2.7670936989931696	-4.023269779322847
15620	ENSG00000001460	protein_coding	train	-0.1149319824740803	STPG1	24743424	chr1	-	0.5190386096000585	1.9928771725280208	0.7129918894617973
15621	ENSG00000002726	protein_coding	train	-1.4094531357020137	AOC1	150521715	chr7	+	1.4261037006850492	2.80264818879089	1.588084958533981
15622	ENSG00000003509	protein_coding	train	0.5478328651750443	NDUFAF7	37458806	chr2	+	1.962141790457795	3.474864310191487	2.141334689563104
15623	ENSG00000004766	protein_coding	train	0.274832377668076	VPS50	92861679	chr7	+	0.9043492152652588	2.356876242847242	1.0701832138770622
15624	ENSG00000005059	protein_coding	train	0.4955840016904116	MCUB	110481361	chr4	+	2.5852990902967736	4.059606204426957	2.712639797930852
15625	ENSG00000005189	protein_coding	train	0.1151733879007169	REXO5	20817821	chr16	+	0.7203660313188074	2.205861656684965	0.8783722253834294
15626	ENSG00000005379	protein_coding	train	0.0921524905068808	TSPOAP1	56406152	chr17	-	1.2230517883684418	2.710723794862462	1.381560254769462
15627	ENSG00000005483	protein_coding	train	0.9148062417709362	KMT2E	104654637	chr7	+	3.2437756951153145	4.755806259727427	3.4009613858622925
15628	ENSG00000006015	protein_coding	valid	1.3392027074393098	REX1BD	18700682	chr19	+	3.247380704341927	4.710811942786841	3.445196982381709
15629	ENSG00000006459	protein_coding	train	0.3340765260551819	KDM7A	139876835	chr7	-	0.9685700343550075	2.458906906850866	1.140909506541662
15630	ENSG00000007520	protein_coding	valid	1.336143222154362	TSR3	1401912	chr16	-	5.011580616511741	6.4935272538181446	5.20211598573764
15631	ENSG00000007545	protein_coding	train	0.6425449273095112	CRAMP1	1662326	chr16	+	0.8757014399429944	2.358396261956654	1.024603367140657
15632	ENSG00000009694	protein_coding	train	-1.0333242773032143	TENM1	124097666	chrX	-	-4.339345147964772	-3.0782590139205	-4.15072126746922
15633	ENSG00000010072	protein_coding	train	0.2482009962441197	SPRTN	231472850	chr1	+	1.2939001403476005	2.7601357663849537	1.4740985312514536
15634	ENSG00000010165	protein_coding	test	0.8809933772200221	EEF1AKNMT	171750842	chr1	+	3.762688983653225	5.22050021999769	3.917021135168319
15635	ENSG00000011007	protein_coding	train	0.9995996051090092	ELOA	24069645	chr1	+	3.251794822641456	4.736426286105201	3.4515012704541506
15636	ENSG00000011201	protein_coding	valid	-0.3721358622392002	ANOS1	8700227	chrX	-	0.6385836152316622	2.168898720025469	0.8682126364771307
15637	ENSG00000014257	protein_coding	train	-0.8792218420789445	ACP3	132036211	chr3	+	0.870739524988939	2.322937628120561	1.0125686735030557
15638	ENSG00000018610	protein_coding	valid	0.6406650327717486	STEEP1	118699336	chrX	-	2.8897266247247044	4.379225857913161	3.061499726538867
15639	ENSG00000020181	protein_coding	train	0.0545106096843186	ADGRA2	37654424	chr8	+	1.5240135116561015	3.068068845688332	1.7638789404516173
15640	ENSG00000020922	protein_coding	train	0.4259340831599825	MRE11	94227074	chr11	-	2.033088169332188	3.474565834538475	2.220763317480116
15641	ENSG00000022277	protein_coding	train	1.248818577867446	RTF2	55090750	chr20	+	4.278066547276849	5.739116310928653	4.452516366311815
15642	ENSG00000031698	protein_coding	train	1.4858598982308449	SARS1	109756604	chr1	+	5.081961638535421	6.54316177299036	5.22774492589548
15643	ENSG00000032389	protein_coding	train	0.5344129496416209	EIPR1	3324315	chr2	-	2.5841447418110723	4.0463688223203365	2.7931675902256035
15644	ENSG00000035687	protein_coding	train	1.0916404953280454	ADSS2	244615436	chr1	-	3.983905662627892	5.485165959170724	4.154153810207497
15645	ENSG00000038219	protein_coding	train	0.6536157707531984	BOD1L1	13629347	chr4	-	1.5767156129656708	3.0426443374084937	1.7313135996923334
15646	ENSG00000039123	protein_coding	train	0.9097475363251248	MTREX	54603588	chr5	+	2.397474417045898	3.9037420872970463	2.5793732670673872
15647	ENSG00000039523	protein_coding	train	1.068541824176354	RIPOR1	67562784	chr16	+	2.5595652309318746	4.037496438161036	2.7712306195270786
15648	ENSG00000040275	protein_coding	train	0.4133457515535993	SPDL1	169010638	chr5	+	1.8427777452954377	3.3309312153853976	2.0113167221090222
15649	ENSG00000040487	protein_coding	train	0.7010357522709582	SLC66A1	19638822	chr1	+	2.828611273337863	4.29155199019062	3.003422338302147
15650	ENSG00000042062	protein_coding	train	-0.1301039372186915	RIPOR3	49308065	chr20	-	-1.3295221958557115	0.0783365711211787	-1.1351106355302505
15651	ENSG00000043143	protein_coding	train	0.6975574474977935	JADE2	133861798	chr5	+	2.2148397571777085	3.701537967776388	2.4518836631316177
15652	ENSG00000047578	protein_coding	train	0.4711860002574742	KATNIP	27561473	chr16	+	1.5148544709370575	2.986301704994124	1.709687653120045
15653	ENSG00000050030	protein_coding	train	-1.16249958979241	NEXMIF	74145282	chrX	-	-4.64025395309453	-3.3718330007136763	-4.473931188332412
15654	ENSG00000050393	protein_coding	train	0.967059338023692	MCUR1	13814800	chr6	-	3.401166239449287	4.875730924117177	3.602052986863092
15655	ENSG00000053328	protein_coding	test	-1.0806489899141964	METTL24	110679475	chr6	-	0.2934882023755075	1.793771058544224	0.5146020264420408
15656	ENSG00000053770	protein_coding	train	0.8559336286810824	AP5M1	57735627	chr14	+	1.628353671349842	3.06517591234923	1.7946030146487562
15657	ENSG00000054219	protein_coding	train	-0.1981395992163878	LY75	160761221	chr2	-	0.7390703927965134	2.1865639435561017	0.881586316243396
15658	ENSG00000055070	protein_coding	train	1.487036904754047	SZRD1	16693578	chr1	+	4.972099832667101	6.428135689480784	5.167084907519902
15659	ENSG00000055211	protein_coding	train	1.0875265240006675	GINM1	149887430	chr6	+	3.9956473216708512	5.479773798154484	4.19035410862746
15660	ENSG00000055609	protein_coding	train	0.5621126870738364	KMT2C	152133090	chr7	-	2.2441259432837293	3.680279342255926	2.423094054149902
15661	ENSG00000056050	protein_coding	train	0.9646939924703012	HPF1	170679104	chr4	-	3.29447371515313	4.779285989161643	3.4740206326522025
15662	ENSG00000058804	protein_coding	train	0.7855463627063412	NDC1	54304533	chr1	-	3.643521445693424	5.116160948313018	3.830498727993734
15663	ENSG00000059691	protein_coding	train	0.0905414410357163	GATB	152645632	chr4	-	0.344033091528057	1.816927321862532	0.5281712093096024
15664	ENSG00000059769	protein_coding	train	0.9261219427457268	DNAJC25	114393640	chr9	+	1.6526471041136237	3.1072191683478567	1.8729469276679336
15665	ENSG00000060138	protein_coding	train	1.2433184833112083	YBX3	10875510	chr12	-	4.88233980701141	6.349294500002476	5.115237210686059
15666	ENSG00000060762	protein_coding	valid	1.0028468411056446	MPC1	166796486	chr6	-	4.037136187254424	5.508488869214024	4.206580714178542
15667	ENSG00000061918	protein_coding	test	0.2880216645853184	GUCY1B1	156680211	chr4	+	2.7054029201297283	4.213852719748974	2.9035396545172354
15668	ENSG00000062370	protein_coding	train	-0.2952567619319594	ZNF112	44860826	chr19	-	0.0271540515037266	1.5342608559316746	0.2384200260789599
15669	ENSG00000062650	protein_coding	train	0.9154997797201704	WAPL	88281572	chr10	-	2.6981740185242336	4.141939541746269	2.891030267840923
15670	ENSG00000063169	protein_coding	train	0.5063401625529732	BICRA	48111453	chr19	+	2.387665827866377	3.87624188741882	2.581230716232504
15671	ENSG00000064102	protein_coding	train	0.7468029991131869	INTS13	27091254	chr12	-	3.5005216433795434	4.974368698179704	3.6833820584867007
15672	ENSG00000064205	protein_coding	train	-1.2902385904617033	CCN5	43352298	chr20	+	-1.6389054298236796	-0.1751099760206017	-1.477944250839036
15673	ENSG00000065427	protein_coding	train	1.7569544835687758	KARS1	75681563	chr16	-	4.813416944891022	6.2770790603890045	5.004177760789111
15674	ENSG00000065600	protein_coding	train	0.4504447943790516	PACC1	212588237	chr1	-	1.7687983321708358	3.2457086134731745	1.9992784720825405
15675	ENSG00000066379	protein_coding	train	0.4849687956946378	POLR1H	30026676	chr6	+	1.6784325337961523	3.154534604277776	1.856308489717443
15676	ENSG00000066697	protein_coding	train	0.7688070751811236	MSANTD3	103204431	chr9	+	1.95995557967556	3.411805852370121	2.1442095611830694
15677	ENSG00000067113	protein_coding	train	1.1250218724246546	PLPP1	54830878	chr5	-	2.6106055799944583	4.099303621437147	2.8382055262369708
15678	ENSG00000067225	protein_coding	train	2.511956990089998	PKM	72496900	chr15	-	7.725383982569308	9.184921696798074	7.905933290356707
15679	ENSG00000069122	protein_coding	train	-1.0528884566447438	ADGRF5	46889714	chr6	-	0.8057051848385113	2.2809563138310565	0.942082805167012
15680	ENSG00000069764	protein_coding	train	-1.1367858208635888	PLA2G10	14788526	chr16	-	-1.4957355586507608	0.0176369030494984	-1.322649622804822
15681	ENSG00000069998	protein_coding	train	0.7571195356098305	HDHD5	17624537	chr22	-	2.413377445267708	3.8818995030547616	2.5735926594062
15682	ENSG00000070010	protein_coding	train	0.6977319698120036	UFD1	19466695	chr22	-	2.044708854852024	3.5599811941598287	2.2403448622389908
15683	ENSG00000070061	protein_coding	train	0.8922255157378788	ELP1	111696396	chr9	-	0.5806279104572649	2.036327491817765	0.7449360668127758
15684	ENSG00000070269	protein_coding	train	0.2613909564080507	TMEM260	57046511	chr14	+	0.9822178463155834	2.4224214000469058	1.176705738189114
15685	ENSG00000070761	protein_coding	train	1.282240599200153	CFAP20	58163275	chr16	-	3.663959370235173	5.156760642431017	3.880048757615988
15686	ENSG00000070985	protein_coding	train	-1.3969141472238904	TRPM5	2444275	chr11	-	-2.287712379549449	-0.7968615028091515	-2.11153923044196
15687	ENSG00000071462	protein_coding	train	0.7472972454487891	BUD23	73108444	chr7	+	3.598448581920994	5.078486018551878	3.7776511594179984
15688	ENSG00000071677	protein_coding	train	-1.4632121967076763	PRLH	238475217	chr2	+	-4.020925838854548	-2.646563782138217	-3.8426975336810254
15689	ENSG00000072071	protein_coding	train	0.7138809478131599	ADGRL1	14316999	chr19	-	3.751410160064371	5.159693763384001	3.903067200873117
15690	ENSG00000072182	protein_coding	train	-1.312149175793726	ASIC4	220378892	chr2	+	-5.356975041986564	-4.1053180261449205	-5.23242994404826
15691	ENSG00000072694	protein_coding	train	-1.3846980873157793	FCGR2B	161632982	chr1	+	0.3069621241404556	1.851519191169904	0.4835707400915552
15692	ENSG00000072952	protein_coding	train	-0.173733761903849	IRAG1	10715535	chr11	-	0.4065366702051717	1.808467429177265	0.5276709162640891
15693	ENSG00000073169	protein_coding	valid	0.9908658719296924	SELENOO	50639408	chr22	+	2.8402819414269445	4.333509605874313	3.033246783747945
15694	ENSG00000074356	protein_coding	train	0.8690894842240092	NCBP3	3732585	chr17	-	1.342725401200669	2.8146529567791383	1.551146837336609
15695	ENSG00000074696	protein_coding	train	1.476622020840102	HACD3	65822804	chr15	+	3.994896466898539	5.457755151395862	4.142944343447269
15696	ENSG00000074842	protein_coding	train	1.6570726614098334	MYDGF	4670382	chr19	-	5.528983815668648	6.95300210246338	5.714374667441261
15697	ENSG00000075399	protein_coding	train	0.669355368865641	VPS9D1	89785777	chr16	-	1.8658396521586624	3.297338173601829	2.00977712161153
15698	ENSG00000075826	protein_coding	train	0.7157564774574873	SEC31B	102279616	chr10	-	-1.0338648945620463	0.4097982278284193	-0.916480251179827
15699	ENSG00000075886	protein_coding	train	-1.240259343164398	TUBA3D	132233666	chr2	+	-0.9700171337842858	0.4680097740928324	-0.7673392432097249
15700	ENSG00000077009	protein_coding	train	-1.05891859009992	NMRK2	3933101	chr19	+	-4.665660560093073	-3.290532898611828	-4.608232280044003
15701	ENSG00000077097	protein_coding	train	1.300943633561433	TOP2B	25705990	chr3	-	4.370129398710377	5.817295800200626	4.526168995344646
15702	ENSG00000077684	protein_coding	valid	0.6924933707423587	JADE1	129730779	chr4	+	1.5804831995848945	3.039524465005582	1.713431883073091
15703	ENSG00000078237	protein_coding	train	0.78188651273283	TIGAR	4430371	chr12	+	-0.8377899636856931	0.6552602260193687	-0.6773795776383155
15704	ENSG00000078246	protein_coding	train	0.9259524912292846	TULP3	3000063	chr12	+	3.9830939325977903	5.494201174391455	4.161661991757364
15705	ENSG00000078618	protein_coding	train	1.304605673618697	NRDC	52344477	chr1	-	3.8308738951212007	5.349092764814041	4.028984574408587
15706	ENSG00000078725	protein_coding	train	-1.0508953271975712	BRINP1	122131745	chr9	-	-3.2542893780119995	-1.7379277116015897	-3.104076998076231
15707	ENSG00000079691	protein_coding	train	0.4669069655643588	CARMIL1	25279656	chr6	+	1.8925853151926533	3.3373971183920297	2.0425392829738764
15708	ENSG00000080572	protein_coding	test	-1.4632121967076763	DNAAF6	106449862	chrX	+	-5.137965260044767	-3.680382065799839	-4.930160374931366
15709	ENSG00000080608	protein_coding	train	0.923775053057942	PUM3	2844241	chr9	-	3.4263318552365574	4.837357974154779	3.58801297794036
15710	ENSG00000080910	protein_coding	train	-1.4632121967076763	CFHR2	196912911	chr1	+	-7.643856189774724	-7.643856189774724	-7.643856189774724
15711	ENSG00000081791	protein_coding	train	0.9430212730630582	DELE1	141303373	chr5	+	3.0770549577038	4.544337004072919	3.270140184607235
15712	ENSG00000082074	protein_coding	train	-0.5782246047526935	FYB1	39219708	chr5	-	0.5613994608950348	2.049177676401429	0.7414885592498122
15713	ENSG00000083097	protein_coding	train	0.2874892361456892	DOP1A	83777385	chr6	+	-0.12139235428247	1.3554110055703903	0.067914014088466
15714	ENSG00000083223	protein_coding	train	0.6276398281200223	TUT7	88969325	chr9	-	1.2691528672171732	2.7510994664582467	1.4567010310082051
15715	ENSG00000084444	protein_coding	train	0.070582615988769	FAM234B	13197218	chr12	+	0.0278617753545092	1.4757593668238898	0.1793836543562975
15716	ENSG00000085231	protein_coding	train	1.190365272424769	AK6	68665369	chr5	-	2.3769848882562976	3.8417215811284624	2.539133990334676
15717	ENSG00000086205	protein_coding	train	-1.2032030722855704	FOLH1	49230188	chr11	-	-0.3910015638233342	1.031818625826357	-0.2019079992713639
15718	ENSG00000086288	protein_coding	train	-1.3887352530502792	NME8	37888199	chr7	+	-2.966911830667813	-1.454426943964968	-2.789860542598332
15719	ENSG00000086619	protein_coding	train	0.0143597878335434	ERO1B	236445285	chr1	-	0.1556197210264469	1.601648980441121	0.3398215049233423
15720	ENSG00000087302	protein_coding	train	1.4907098078031984	RTRAF	52456193	chr14	+	3.7039755334170215	5.189290860640641	3.8451287046767137
15721	ENSG00000087448	protein_coding	train	0.6174462225265674	KLHL42	27932953	chr12	+	1.925619712002936	3.3686007465140952	2.0885486970102383
15722	ENSG00000087884	protein_coding	test	0.4649972355280779	AAMDC	77532160	chr11	+	1.9054279234212848	3.2975582811681865	2.118492625869405
15723	ENSG00000088899	protein_coding	train	0.5103532934866896	LZTS3	3149207	chr20	-	4.434181173094111	5.923634118388335	4.628067819927462
15724	ENSG00000089060	protein_coding	train	0.3783068164382995	SLC8B1	113772835	chr12	-	2.4021764249794826	3.896213713517568	2.592205851913623
15725	ENSG00000089063	protein_coding	train	1.5576028433278712	TMEM230	5093688	chr20	-	5.847262848923799	7.344811634690619	6.016121869479017
15726	ENSG00000089101	protein_coding	train	-1.340584000734003	CFAP61	20033196	chr20	+	-3.1923153567568927	-1.7670936989931698	-2.9793733494100425
15727	ENSG00000089154	protein_coding	train	1.1817909868165115	GCN1	120632513	chr12	-	3.930567042196169	5.420344283755267	4.102355788733766
15728	ENSG00000089486	protein_coding	train	1.1339204418535622	CDIP1	4565110	chr16	-	2.385292973645792	3.861101798254437	2.555030801182208
15729	ENSG00000089916	protein_coding	train	0.197198941952262	GPATCH2L	76618279	chr14	+	0.1605330087609084	1.5863564323022448	0.3461910297990695
15730	ENSG00000090097	protein_coding	train	1.005798646907474	PCBP4	51995652	chr3	-	3.5829533517652794	5.058303506081199	3.74417186191114
15731	ENSG00000090530	protein_coding	train	0.1054561724727421	P3H2	189838718	chr3	-	1.0206977595946245	2.540374506190304	1.1711427631608933
15732	ENSG00000090861	protein_coding	train	1.6176613931676262	AARS1	70323446	chr16	-	3.5304453546929064	4.988925494507408	3.716793401718927
15733	ENSG00000091262	protein_coding	train	-0.733158502526402	ABCC6	16317321	chr16	-	-1.9340141705014149	-0.4287600687985116	-1.7326439882161129
15734	ENSG00000091436	protein_coding	test	0.5596845655102736	MAP3K20	173940570	chr2	+	1.5569443527948883	3.0430644786649377	1.7266568626856873
15735	ENSG00000092847	protein_coding	train	0.748329008543398	AGO1	36348810	chr1	+	2.111231672786384	3.580953456858075	2.296692330946985
15736	ENSG00000093072	protein_coding	train	0.5201675683358274	ADA2	17702879	chr22	-	3.275483892667288	4.790975293437159	3.5170110698516
15737	ENSG00000094661	protein_coding	train	-1.4632121967076763	OR1I1	15197791	chr19	+	-6.67300253543424	-5.725469955328377	-6.601211852366231
15738	ENSG00000094975	protein_coding	train	0.8651476190958755	SUCO	172501489	chr1	+	2.765386225993617	4.193180353742616	2.9440713065459163
15739	ENSG00000095110	protein_coding	train	-1.4538185410237352	NXPE1	114400742	chr11	-	-6.9839316313723465	-6.265344566520995	-6.947862376664824
15740	ENSG00000095397	protein_coding	train	0.1906379840971738	WHRN	117267250	chr9	-	1.2470768319308174	2.713695814843359	1.389731996394422
15741	ENSG00000095932	protein_coding	train	-0.583021793390013	SMIM24	3480540	chr19	-	0.1664583717225328	1.6067738440486845	0.3164933377753143
15742	ENSG00000099284	protein_coding	train	0.8486272691846389	MACROH2A2	71812552	chr10	+	1.7441180294040195	3.233213172520312	1.9073521841713712
15743	ENSG00000099290	protein_coding	train	0.7508986407113993	WASHC2A	51827648	chr10	+	2.7768619935996948	4.232330740926606	2.921531542490272
15744	ENSG00000099624	protein_coding	valid	1.68952607636913	ATP5F1D	1241767	chr19	+	5.798021992477215	7.236949845807007	5.9527086369603
15745	ENSG00000099625	protein_coding	train	-0.3812585301348227	CBARP	1238026	chr19	-	-1.0403782015207204	0.4150014314519718	-0.8564759674783868
15746	ENSG00000099785	protein_coding	train	0.9639835047980868	MARCHF2	8483289	chr19	+	3.91986443015226	5.383801044825255	4.150332206722867
15747	ENSG00000099812	protein_coding	train	-0.9622587091915348	MISP	751126	chr19	+	3.957793904810255	5.349910148777143	4.131762320824665
15748	ENSG00000099814	protein_coding	train	0.6691965593192791	CEP170B	105331650	chr14	+	3.909427507052698	5.402077485349264	4.066648933664816
15749	ENSG00000099977	protein_coding	train	1.1725094466794048	DDT	24316680	chr22	-	-7.643856189774724	-7.643856189774724	-7.643856189774724
15750	ENSG00000100056	protein_coding	train	0.3925111167204854	ESS2	19132197	chr22	-	1.7029677670327663	3.140386032283057	1.878450703096664
15751	ENSG00000100077	protein_coding	train	0.4720291716946357	GRK3	25960816	chr22	+	1.0723802466772598	2.5662306528215426	1.2549567874613747
15752	ENSG00000100084	protein_coding	train	0.941920141912676	HIRA	19419256	chr22	-	1.1722314688254811	2.645932176281792	1.347552276990064
15753	ENSG00000100121	protein_coding	train	-0.5067824533217987	GGTLC2	22988780	chr22	+	-6.148161027150656	-5.0303245368567975	-6.088040034713085
15754	ENSG00000100138	protein_coding	train	1.527842787191859	SNU13	42084885	chr22	-	5.197574496092971	6.676581947850751	5.373689967460969
15755	ENSG00000100167	protein_coding	train	-0.5473116269942682	SEPTIN3	42372938	chr22	+	-0.1592346626761259	1.2686739245483585	0.0220481651801728
15756	ENSG00000100218	protein_coding	valid	-1.1513083053540245	RSPH14	23484280	chr22	-	-1.9406447223835788	-0.5249151170512174	-1.7307274219549862
15757	ENSG00000100220	protein_coding	train	1.3832266208349462	RTCB	32808242	chr22	-	4.273963398894835	5.760516375901499	4.470536865092583
15758	ENSG00000100288	protein_coding	train	1.0624108378694928	CHKB	51021249	chr22	-	-3.1405074546072203	-1.6882643980207304	-3.0081017984969645
15759	ENSG00000100324	protein_coding	train	0.8194189295706488	TAB1	39795746	chr22	+	2.4504590656379577	3.9384834078066806	2.5902666649384205
15760	ENSG00000100335	protein_coding	train	0.821689355136569	MIEF1	39898358	chr22	+	2.112433251179737	3.615981210814781	2.303167015711149
15761	ENSG00000100418	protein_coding	train	0.9167738745905616	DESI1	42017100	chr22	-	3.0052203134113418	4.472669721525345	3.205408153571001
15762	ENSG00000100483	protein_coding	train	0.5309180838281721	VCPKMT	50583276	chr14	-	2.0254186593880683	3.500292176734166	2.2349304477791856
15763	ENSG00000100528	protein_coding	valid	1.5458384915430272	CNIH1	54908149	chr14	-	4.250575085597465	5.765293392997895	4.383745758561945
15764	ENSG00000100557	protein_coding	train	-1.442332166007687	CCDC198	57960570	chr14	-	-6.559791924986251	-5.687799537362322	-6.454822365384707
15765	ENSG00000100565	protein_coding	train	-1.4632121967076763	LRRC74A	77292727	chr14	+	-5.83650126771712	-4.6766875822420975	-5.740817919661812
15766	ENSG00000100626	protein_coding	train	-0.4143846574121324	GALNT16	69726891	chr14	+	-1.560642821525743	-0.1113833729318539	-1.3473987824034803
15767	ENSG00000100647	protein_coding	train	0.7042429277066988	SUSD6	70078313	chr14	+	3.5770299545859934	5.030543550193023	3.803805651923029
15768	ENSG00000100731	protein_coding	train	0.679928052375677	PCNX1	71374122	chr14	+	1.0476779751444754	2.500215679741073	1.2005043534465214
15769	ENSG00000100744	protein_coding	train	0.6389751986132431	GSKIP	96829894	chr14	+	2.367930141431883	3.87333090726909	2.559858864483163
15770	ENSG00000100796	protein_coding	train	1.0970422265958175	PPP4R3A	91976488	chr14	-	3.1529297273595427	4.695102985640479	3.3282189367161354
15771	ENSG00000100890	protein_coding	train	0.8789733226668279	PRORP	35591769	chr14	+	-1.1785346761941746	0.2691528672171733	-0.9810810178369482
15772	ENSG00000100908	protein_coding	train	0.7026913888542147	EMC9	24610794	chr14	-	2.66076892702923	4.156437068448693	2.832363460948302
15773	ENSG00000100926	protein_coding	train	1.2011651792924134	TM9SF1	24682679	chr14	-	0.457121457950096	1.953600493934903	0.6384909417104555
15774	ENSG00000101019	protein_coding	train	0.6098871865367481	UQCC1	33999777	chr20	-	2.8971242306911127	4.398049321383964	3.062363522706937
15775	ENSG00000101074	protein_coding	valid	-1.4632121967076763	R3HDML	42965626	chr20	+	-7.643856189774724	-7.643856189774724	-7.643856189774724
15776	ENSG00000101084	protein_coding	train	1.5638875630560092	RAB5IF	35234192	chr20	+	3.249126729714638	4.719725581615968	3.4202398440262773
15777	ENSG00000101158	protein_coding	train	1.0202125054582518	NELFCD	57565150	chr20	+	4.370945412576636	5.812446882959463	4.531936596328982
